dataset_id,module,n_genes,n_samples,cronbach_alpha
GSE272133_muscle_bariatric,nad_salvage_core,6,51,0.7920164923573386
GSE272133_muscle_bariatric,nad_de_novo,3,51,0.4434200272026369
GSE272133_muscle_bariatric,nad_consumption_inflammation,2,51,0.10293943705835207
GSE272133_muscle_bariatric,nad_consumption_repair,2,51,0.890153869170861
GSE272133_muscle_bariatric,sirtuin_repair,3,51,0.8217083444946134
GSE272133_muscle_bariatric,ampk_mitochondria_repair,3,51,0.8258931188858045
GSE272133_muscle_bariatric,mitochondrial_biogenesis,2,51,0.8425475589774207
GSE272133_muscle_bariatric,oxidative_stress_repair,4,51,0.9140589114487241
GSE272133_muscle_bariatric,nfkb_inflammation,7,51,0.6130490775091033
GSE272133_muscle_bariatric,innate_immune_inflammation,3,51,0.48971905165647395
GSE272133_muscle_bariatric,monocyte_macrophage,4,51,0.7811631081062941
GSE272133_muscle_bariatric,macrophage_resolution,2,51,0.19102418769683016
GSE272133_muscle_bariatric,adipose_metabolism_resolution,2,51,0.3984992901500084
GSE272133_muscle_bariatric,insulin_metabolism,4,51,0.8015965203234146
GSE272133_muscle_bariatric,dna_damage_repair,3,51,0.8576820964306897
GSE272133_muscle_bariatric,autophagy_repair,4,51,0.7370303911167193
GSE272133_muscle_bariatric,mitochondrial_stress,2,51,0.5856652501089883
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,5,14,-1.500136930365451
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,3,14,0.547787020163028
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,2,14,0.5661004351825318
GSE282850_muscle_cell_aicar_palmitate,sirtuin_repair,3,14,0.24633683240653076
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,3,14,0.27328238641895386
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,2,14,-2.1461027775195856
GSE282850_muscle_cell_aicar_palmitate,oxidative_stress_repair,3,14,0.3141547506185982
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,4,14,-0.6938129862657615
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,3,14,0.6707857186209101
GSE282850_muscle_cell_aicar_palmitate,monocyte_macrophage,2,14,0.10250701397500195
GSE282850_muscle_cell_aicar_palmitate,insulin_metabolism,4,14,-0.6145271552409428
GSE282850_muscle_cell_aicar_palmitate,dna_damage_repair,3,14,0.5891582316100259
GSE282850_muscle_cell_aicar_palmitate,autophagy_repair,4,14,0.663109192390556
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_stress,2,14,-0.30977978475434886
GSE292369_exercise_ketone_recovery,nad_salvage_core,6,33,-0.32749025144703753
GSE292369_exercise_ketone_recovery,nad_de_novo,3,33,0.10193341602843542
GSE292369_exercise_ketone_recovery,nad_consumption_inflammation,2,33,0.05429152831115447
GSE292369_exercise_ketone_recovery,nad_consumption_repair,2,33,-0.24796528168120124
GSE292369_exercise_ketone_recovery,sirtuin_repair,3,33,-0.7022866744684484
GSE292369_exercise_ketone_recovery,ampk_mitochondria_repair,3,33,-0.09311020310117268
GSE292369_exercise_ketone_recovery,mitochondrial_biogenesis,2,33,-1.1301883336328857
GSE292369_exercise_ketone_recovery,oxidative_stress_repair,4,33,-0.03138461994916734
GSE292369_exercise_ketone_recovery,nfkb_inflammation,7,33,0.4863342829474869
GSE292369_exercise_ketone_recovery,innate_immune_inflammation,3,33,0.07041577171094932
GSE292369_exercise_ketone_recovery,monocyte_macrophage,4,33,0.2564015586866084
GSE292369_exercise_ketone_recovery,macrophage_resolution,2,33,-0.01266053057615002
GSE292369_exercise_ketone_recovery,adipose_metabolism_resolution,2,33,0.38661554043958835
GSE292369_exercise_ketone_recovery,insulin_metabolism,4,33,-0.0078869067676021
GSE292369_exercise_ketone_recovery,dna_damage_repair,3,33,0.45161784821230566
GSE292369_exercise_ketone_recovery,autophagy_repair,4,33,0.10022984107837847
GSE292369_exercise_ketone_recovery,mitochondrial_stress,2,33,0.17148962572204884
GSE294150_visceral_adipose,nad_salvage_core,6,39,0.3133862278257627
GSE294150_visceral_adipose,nad_de_novo,3,39,0.7307724958395869
GSE294150_visceral_adipose,nad_consumption_inflammation,2,39,-3.7964496773165948
GSE294150_visceral_adipose,nad_consumption_repair,2,39,-0.5564478054850555
GSE294150_visceral_adipose,sirtuin_repair,3,39,0.3161272373185271
GSE294150_visceral_adipose,ampk_mitochondria_repair,3,39,0.5694755858456679
GSE294150_visceral_adipose,mitochondrial_biogenesis,2,39,0.6938280814402578
GSE294150_visceral_adipose,oxidative_stress_repair,4,39,0.7866277855287063
GSE294150_visceral_adipose,nfkb_inflammation,7,39,0.7921040543188768
GSE294150_visceral_adipose,innate_immune_inflammation,3,39,0.4003582322979009
GSE294150_visceral_adipose,monocyte_macrophage,4,39,0.2982280907974717
GSE294150_visceral_adipose,macrophage_resolution,2,39,0.13649792577288777
GSE294150_visceral_adipose,adipose_metabolism_resolution,2,39,0.9748648755290055
GSE294150_visceral_adipose,insulin_metabolism,4,39,0.8590024049710091
GSE294150_visceral_adipose,dna_damage_repair,3,39,0.6232040005869021
GSE294150_visceral_adipose,autophagy_repair,4,39,0.12633756025740217
GSE294150_visceral_adipose,mitochondrial_stress,2,39,0.7225563208143984
GSE305038_activity_inactivity_exercise,nad_salvage_core,6,24,0.8303129932922234
