dataset_id,contrast,contrast_source,control_condition,case_condition,metric,control_n_raw,case_n_raw,pairing_keys,independent_unit_keys,analysis_design,analysis_n,paired_n,analysis_n_control,analysis_n_case,control_mean,case_mean,mean_delta,delta_sd,ci95_low,ci95_high,effect_size_name,effect_size,p_value,test_method,ci_method,q_value_global,q_value_metric,evidence_flags
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,NAMPT_z,13,13,participant_id,,paired,13,13,13,13,0.8186496667344041,0.6513953090343809,-0.16725435770002317,1.0767209754238332,-0.7546983280756918,0.3682068919404514,paired_cohen_dz,-0.15533676924440548,0.612060546875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.9690958658854166,0.6840676700367647,ci_crosses_zero
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,balance_score,13,13,participant_id,,paired,13,13,13,13,0.18899235009938223,0.1671637871688947,-0.021828562930487513,0.3422564543465279,-0.19964721753428832,0.15532210685560335,paired_cohen_dz,-0.06377838212624772,0.819091796875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,1.0,1.0,ci_crosses_zero
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,inflammatory_score,13,13,participant_id,,paired,13,13,13,13,0.503654595465248,0.46042971293196533,-0.0432248825332828,0.47003078637120393,-0.28788073203783354,0.20737090981399642,paired_cohen_dz,-0.09196181141025561,0.7421875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,1.0,1.0,ci_crosses_zero
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,repair_score,13,13,participant_id,,paired,13,13,13,13,0.6926469455646302,0.62759350010086,-0.06505344546377033,0.40662140433951516,-0.273407136802253,0.15420901343079124,paired_cohen_dz,-0.15998529533741146,0.573486328125,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.9474991508152174,0.9895833333333334,ci_crosses_zero
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,NAMPT_z,13,13,participant_id,,paired,13,13,13,13,-0.7969901186524632,-0.6730548571163376,0.12393526153612552,0.5859578895232956,-0.17667537993721433,0.43270274255193547,paired_cohen_dz,0.21150881957908732,0.457275390625,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.8444444444444444,0.59375,ci_crosses_zero
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,balance_score,13,13,participant_id,,paired,13,13,13,13,-0.23803398287425054,-0.11812215439402948,0.119911828480221,0.35681333539930743,-0.0657586959290551,0.30390939016066726,paired_cohen_dz,0.33606319210583446,0.24169921875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.5277777777777778,0.5277777777777778,ci_crosses_zero
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,inflammatory_score,13,13,participant_id,,paired,13,13,13,13,-0.5699029710642102,-0.39418133733300387,0.17572163373120622,0.23288467615822345,0.060058160753250024,0.29653160989164346,paired_cohen_dz,0.7545435647806201,0.019775390625,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.1001953125,0.125244140625,ci_excludes_zero;nominal_p_lt_0.05
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,repair_score,13,13,participant_id,,paired,13,13,13,13,-0.8079369539384607,-0.5123034917270334,0.2956334622114273,0.41049950620677184,0.07095710759034615,0.49585582688820656,paired_cohen_dz,0.7201798241932948,0.02685546875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.11338975694444445,0.1275634765625,ci_excludes_zero;nominal_p_lt_0.05
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,predefined,differentiated,aicar,NAMPT_z,4,3,participant_id,,paired_intersection,3,3,3,3,-1.0381844041326904,-0.34076483646343614,0.6974195676692544,0.6629193517110042,0.04595964744024139,1.3712329173965723,paired_cohen_dz,1.052042855392899,0.25,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.5277777777777778,0.3958333333333333,very_small_n;ci_excludes_zero
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,predefined,differentiated,aicar,balance_score,4,3,participant_id,,paired_intersection,3,3,3,3,-0.029727471024170563,-0.05121584564794063,-0.021488374623770057,0.11937312984287049,-0.1563913974119344,0.07047486784840681,paired_cohen_dz,-0.1800101467730214,1.0,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,1.0,1.0,very_small_n;ci_crosses_zero
