accession,label,url,local_path,size_bytes,sha256,status,error
GSE312393,24h_exercise_tpm,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312393/suppl/GSE312393_human_gene_24H_exercise_tpm.tsv.gz,data_audit\downloads\geo_processed\GSE312393\GSE312393_human_gene_24H_exercise_tpm.tsv.gz,872510,4dffcf942e3de64550a8207841fce88975afa74c7976774e1e9a43a3346efbe3,downloaded,
GSE312393,6weeks_tpm,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312393/suppl/GSE312393_human_gene_6weeks_tpm.tsv.gz,data_audit\downloads\geo_processed\GSE312393\GSE312393_human_gene_6weeks_tpm.tsv.gz,1311353,2dd7d65f900e8f7185d0d9a417f71f6e27024d9d379af8d5f1c2ded033c84917,downloaded,
GSE318937,gene_per_sample_order,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE318nnn/GSE318937/suppl/GSE318937_genePerSampleOrder_FortitudeUnil.csv.gz,data_audit\downloads\geo_processed\GSE318937\GSE318937_genePerSampleOrder_FortitudeUnil.csv.gz,4771485,858a8b76b8d89fc733de24dfc2011148129afb32c15a2f358c5a32ae8980e31f,downloaded,
GSE305038,inactive_post_vs_pre_edger,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305038/suppl/GSE305038_20250714_M008795_edgeRglm_Counts_Inactive_Post-Inactive_Pre.xlsx,data_audit\downloads\geo_processed\GSE305038\GSE305038_20250714_M008795_edgeRglm_Counts_Inactive_Post-Inactive_Pre.xlsx,1350323,e024e61a5e511f0eb693849c9afc85cfc2e21f863e3968bfe7ebcfcf3ad462ce,downloaded,
GSE305038,normal_post_vs_pre_edger,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305038/suppl/GSE305038_20250714_M008795_edgeRglm_Counts_Normal_Post-Normal_Pre.xlsx,data_audit\downloads\geo_processed\GSE305038\GSE305038_20250714_M008795_edgeRglm_Counts_Normal_Post-Normal_Pre.xlsx,1245596,5dacbdfcad1e8188461bb70dc73cdf5d895af9994dbee406c653b1ea5b1bbbcc,downloaded,
GSE292369,transcript_counts,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292369/suppl/GSE292369_Partek_KE_recovery_transcript_counts.txt.gz,data_audit\downloads\geo_processed\GSE292369\GSE292369_Partek_KE_recovery_transcript_counts.txt.gz,22894650,5802d475d8584f3b6bfa178d890b6a239d398cf9aa1f95ec7e696292179d17ae,downloaded,
GSE292369,deseq2_normalized,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292369/suppl/GSE292369_Partek_KE_recovery_Normalization_Outliers_Removed_Deseq2.txt.gz,data_audit\downloads\geo_processed\GSE292369\GSE292369_Partek_KE_recovery_Normalization_Outliers_Removed_Deseq2.txt.gz,4083667,5f7f02dad25ba9c73f19fc650d286d817648f7a33bd97b858720b915cc9860bc,downloaded,
GSE32575,non_normalized,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32575/suppl/GSE32575_non-normalized.txt.gz,data_audit\downloads\geo_processed\GSE32575\GSE32575_non-normalized.txt.gz,16198634,6dcd2a3cf6478cc7c37ed8e24f300806f048c87b6370c4ad0595af5a3221e148,downloaded,
GSE272133,processed_rnaseq,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE272nnn/GSE272133/suppl/GSE272133_processed_data_RNASeq.tsv.gz,data_audit\downloads\geo_processed\GSE272133\GSE272133_processed_data_RNASeq.tsv.gz,2362653,574870c46ab039a9c314ed4c41539b6e7e1ad978cb8cbc06acf6183b45eb7906,downloaded,
GSE294150,expression_grch38_gene,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294150/suppl/GSE294150_Expression_Profile.GRCh38.gene.txt.gz,data_audit\downloads\geo_processed\GSE294150\GSE294150_Expression_Profile.GRCh38.gene.txt.gz,13069205,f44a38757a5a98ac051663a9dba7c78cf8da878c71ffb21557208e6116459a11,downloaded,
GSE282850,vst_counts,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282850/suppl/GSE282850_tovar-nishino_rnaseq_vst_counts.txt.gz,data_audit\downloads\geo_processed\GSE282850\GSE282850_tovar-nishino_rnaseq_vst_counts.txt.gz,1716839,a932170f4c8a1cdbc053e190a1ec31bcf39b2a6aef0c4c17fe8981a76dc1af65,downloaded,
GSE282850,raw_counts,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282850/suppl/GSE282850_tovar-nishino_rnaseq_raw_counts.txt.gz,data_audit\downloads\geo_processed\GSE282850\GSE282850_tovar-nishino_rnaseq_raw_counts.txt.gz,473166,f639497119d19ebdfe0024080c791e5e1fd60d5eab9719e6b6fcd63981abc1ae,downloaded,
