accession,file,rows,columns,orientation_hint,primary_id_type,primary_id_column,axis_overlap_count,axis_overlap_genes,needs_mapping,notes,status,error
GSE272133,data_audit\downloads\geo_processed\GSE272133\GSE272133_processed_data_RNASeq.tsv.gz,60624,53,genes_as_rows_samples_as_columns,ensembl_pipe_symbol,Unnamed: 0,2,MTOR;NMNAT1,no_symbol_embedded,,ok,
GSE282850,data_audit\downloads\geo_processed\GSE282850\GSE282850_tovar-nishino_rnaseq_raw_counts.txt.gz,16017,16,genes_as_rows_samples_as_columns,ensembl_id,ENSG_ID,0,,yes,Requires Ensembl-to-symbol mapping before scoring.,ok,
GSE282850,data_audit\downloads\geo_processed\GSE282850\GSE282850_tovar-nishino_rnaseq_vst_counts.txt.gz,16017,16,genes_as_rows_samples_as_columns,ensembl_id,ENSG_ID,0,,yes,Requires Ensembl-to-symbol mapping before scoring.,ok,
GSE292369,data_audit\downloads\geo_processed\GSE292369\GSE292369_Partek_KE_recovery_Normalization_Outliers_Removed_Deseq2.txt.gz,34,60588,samples_as_rows_genes_as_columns,gene_symbol_columns,header,59,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT,no_for_direct_symbol_subset,,ok,
GSE292369,data_audit\downloads\geo_processed\GSE292369\GSE292369_Partek_KE_recovery_transcript_counts.txt.gz,227751,41,genes_as_rows_samples_as_columns,mixed_or_unknown,Chromosome,0,,yes,,ok,
GSE294150,data_audit\downloads\geo_processed\GSE294150\GSE294150_Expression_Profile.GRCh38.gene.txt.gz,46427,130,genes_as_rows_samples_as_columns,gene_symbol,Gene_Symbol,10,AKT2;ARG1;ATM;BST1;CASP1;CAT;CD14;CD38;CD68;PARP1,no_for_direct_symbol_subset,,ok,
GSE305038,data_audit\downloads\geo_processed\GSE305038\GSE305038_20250714_M008795_edgeRglm_Counts_Inactive_Post-Inactive_Pre.xlsx,15506,14,genes_as_rows_samples_as_columns,ensembl_id,Unnamed: 0,0,,yes,Requires Ensembl-to-symbol mapping before scoring.,ok,
GSE305038,data_audit\downloads\geo_processed\GSE305038\GSE305038_20250714_M008795_edgeRglm_Counts_Normal_Post-Normal_Pre.xlsx,15463,13,genes_as_rows_samples_as_columns,ensembl_id,Unnamed: 0,0,,yes,Requires Ensembl-to-symbol mapping before scoring.,ok,
GSE312393,data_audit\downloads\geo_processed\GSE312393\GSE312393_human_gene_24H_exercise_tpm.tsv.gz,62703,7,genes_as_rows_samples_as_columns,mixed_or_unknown,CTR_RNA_S1,0,,yes,,ok,
GSE312393,data_audit\downloads\geo_processed\GSE312393\GSE312393_human_gene_6weeks_tpm.tsv.gz,62703,8,genes_as_rows_samples_as_columns,gene_symbol,gene_name,2,ATG5;CD38,no_for_direct_symbol_subset,,ok,
GSE318937,data_audit\downloads\geo_processed\GSE318937\GSE318937_genePerSampleOrder_FortitudeUnil.csv.gz,62754,120,genes_as_rows_samples_as_columns,ensembl_id,Unnamed: 0,0,,yes,Requires Ensembl-to-symbol mapping before scoring.,ok,
GSE32575,data_audit\downloads\geo_processed\GSE32575\GSE32575_non-normalized.txt.gz,48701,97,genes_as_rows_samples_as_columns,array_probe_id,ID_REF,0,,yes,Requires platform probe annotation before scoring.,ok,
