domain,metric,k,pooled_effect,se,ci95_low,ci95_high,z,p_value,I2_pct,tau2,Q,n_positive,n_negative,direction_agreement_pct,datasets
exercise,NAMPT_z,12,0.8466677372720416,0.16238256365172668,0.5283979125146573,1.1649375620294258,5.214031101811827,1.8478046648340296e-07,63.891043287614835,0.19142501064905015,30.463355913650815,11,1,91.66666666666666,GSE292369_exercise_ketone_recovery;GSE305038_activity_inactivity_exercise;GSE312393_6weeks_training;GSE318937_exercise_oleuropein
exercise,balance_score,12,-0.6184496300644395,0.25627601177258336,-1.120750613138703,-0.11614864699017613,-2.4132170068779017,0.015812401866055037,98.09857433660841,0.7666136617750736,578.5132814700332,2,10,83.33333333333334,GSE292369_exercise_ketone_recovery;GSE305038_activity_inactivity_exercise;GSE312393_6weeks_training;GSE318937_exercise_oleuropein
exercise,inflammatory_score,12,0.2747574509744803,0.15340177739211017,-0.02591003271405562,0.5754249346630163,1.7910969197714899,0.07327774337943316,88.46688446308087,0.23012830380384625,95.3775236603453,9,3,75.0,GSE292369_exercise_ketone_recovery;GSE305038_activity_inactivity_exercise;GSE312393_6weeks_training;GSE318937_exercise_oleuropein
exercise,repair_score,12,-0.3343667312222288,0.1713981038953715,-0.6703070148571569,0.0015735524126992972,-1.9508193126006816,0.05107854363386455,96.38419428104758,0.3038066640488937,304.2198849994343,2,10,83.33333333333334,GSE292369_exercise_ketone_recovery;GSE305038_activity_inactivity_exercise;GSE312393_6weeks_training;GSE318937_exercise_oleuropein
obesity,NAMPT_z,3,0.13779672061435297,0.12579132501176274,-0.108754276408702,0.38434771763740794,1.0954389788124705,0.27332436527077064,0.0,0.0,1.186689161010124,2,1,66.66666666666666,GSE272133_muscle_bariatric;GSE32575_monocytes_obesity_surgery
obesity,balance_score,3,-0.10038230863480405,0.26410000139216744,-0.6180183113634522,0.41725369409384416,-0.38009204129364743,0.7038770933801815,95.78099355977284,0.2003847301535886,47.40452588387878,1,2,66.66666666666666,GSE272133_muscle_bariatric;GSE32575_monocytes_obesity_surgery
obesity,inflammatory_score,3,0.5696673787646008,0.3098867651577149,-0.03771068094452035,1.177045438473722,1.8383081912990773,0.06601700476490424,95.01152998988381,0.27051620663962334,40.09245311576839,2,1,66.66666666666666,GSE272133_muscle_bariatric;GSE32575_monocytes_obesity_surgery
obesity,repair_score,3,0.39642061174256843,0.32425742731579144,-0.2391239457963828,1.0319651692815197,1.222549056236414,0.22150006458748095,93.91044699120702,0.29184135450387155,32.843133102086675,2,1,66.66666666666666,GSE272133_muscle_bariatric;GSE32575_monocytes_obesity_surgery
obesity_cell_model,NAMPT_z,2,1.4199961669170664,0.22581229144211037,0.9774040756905301,1.8625882581436026,6.288391822466843,3.207714094344283e-10,31.096736128247667,0.0398934748036248,1.4513100596530104,2,0,100.0,GSE282850_muscle_cell_aicar_palmitate
obesity_cell_model,balance_score,2,-0.06527478497523348,0.14243967640393274,-0.34445655072694165,0.2139069807764747,-0.45826265983732084,0.64676374733711,67.5272617017344,0.02870328328476542,3.07950623324369,1,1,50.0,GSE282850_muscle_cell_aicar_palmitate
obesity_cell_model,inflammatory_score,2,0.5494042846842541,0.16314154029683692,0.22964686570245368,0.8691617036660544,3.367654146728111,0.0007581063289092693,79.72573622788956,0.0424405161001818,4.932361595174735,2,0,100.0,GSE282850_muscle_cell_aicar_palmitate
obesity_cell_model,repair_score,2,0.7675534499687999,0.49024323386813906,-0.1933232884127526,1.7284301883503526,1.5656584261502509,0.11742860398549237,98.36521638500541,0.4728346488525765,61.17017511233829,2,0,100.0,GSE282850_muscle_cell_aicar_palmitate
