metric,dropped,k,pooled,lo,hi,p
NAMPT_z,GSE292369,11,0.8608688969303109,0.5117856686056675,1.2099521252549543,1.341354077588619e-06
NAMPT_z,GSE305038,10,0.9413722356931217,0.5942686278653018,1.2884758435209416,1.0626331969909586e-07
NAMPT_z,GSE312393,11,0.7460732611055291,0.48795199184447885,1.0041945303665794,1.468698140882907e-08
NAMPT_z,GSE318937,4,0.8351257495502884,0.0332411720846395,1.6370103270159373,0.041226036756444095
inflammatory_score,GSE292369,11,0.18351931093618504,-0.012586194051525418,0.3796248159238955,0.06662345476179565
inflammatory_score,GSE305038,10,0.32223232594999807,-0.0012234653234497461,0.6456881172234459,0.050868631363990335
inflammatory_score,GSE312393,11,0.26567803045851135,-0.056676381271224985,0.5880324421882477,0.10622569609641497
inflammatory_score,GSE318937,4,0.362819200992951,-0.2705867725451136,0.9962251745310156,0.26156442665552193
repair_score,GSE292369,11,-0.2839201754651366,-0.7650409217219872,0.19720057079171405,0.24741943532863475
repair_score,GSE305038,10,-0.23747317413481991,-0.5075817191531412,0.03263537088350141,0.08485478885226727
repair_score,GSE312393,11,-0.40757035550694903,-0.7494459922159786,-0.06569471879791944,0.019458274710679735
repair_score,GSE318937,4,-0.5392735650030323,-1.1320135484373726,0.05346641843130806,0.07455313508200412
balance_score,GSE292369,11,-0.5567142321582873,-1.1099050590213955,-0.0035234052951791384,0.04855441401109406
balance_score,GSE305038,10,-0.5559844164942247,-1.1267932186395022,0.014824385651052707,0.0562495605757225
balance_score,GSE312393,11,-0.7896415470889276,-1.1941588533673433,-0.38512424081051194,0.00013022370397219873
balance_score,GSE318937,4,-0.4753106223202035,-1.673005530015581,0.7223842853751741,0.4366663894048546
