gene_symbol,module,score_group,rationale,OB_Participant_1_w0,OB_Participant_2_w0,OB_Participant_3_w0,OB_Participant_4_w0,OB_Participant_5_w0,OB_Participant_6_w0,OB_Participant_7_w0,OB_Participant_8_w0,OB_Participant_9_w0,OB_Participant_10_w0,OB_Participant_11_w0,OB_Participant_12_w0,OB_Participant_13_w0,OB_Participant_1_w52,OB_Participant_2_w52,OB_Participant_3_w52,OB_Participant_4_w52,OB_Participant_5_w52,OB_Participant_6_w52,OB_Participant_7_w52,OB_Participant_8_w52,OB_Participant_9_w52,OB_Participant_10_w52,OB_Participant_11_w52,OB_Participant_12_w52,OB_Participant_13_w52,T2D_Participant_1_w0,T2D_Participant_2_w0,T2D_Participant_3_w0,T2D_Participant_4_w0,T2D_Participant_5_w0,T2D_Participant_6_w0,T2D_Participant_7_w0,T2D_Participant_8_w0,T2D_Participant_9_w0,T2D_Participant_10_w0,T2D_Participant_11_w0,T2D_Participant_12_w0,T2D_Participant_13_w0,T2D_Participant_1_w52,T2D_Participant_2_w52,T2D_Participant_3_w52,T2D_Participant_4_w52,T2D_Participant_5_w52,T2D_Participant_6_w52,T2D_Participant_7_w52,T2D_Participant_8_w52,T2D_Participant_9_w52,T2D_Participant_10_w52,T2D_Participant_11_w52,T2D_Participant_12_w52,T2D_Participant_13_w52
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,11.031356596255709,11.395534135462302,10.049848549450562,9.83605035505807,10.233619676759702,10.635718120331047,9.65284497300198,10.145932145820515,10.278449458220482,10.100662339005199,10.260919533662905,9.964340867792417,10.075479149488016,10.047123912114026,9.859534786382653,10.072802534544207,9.832890014164741,10.263269200372662,10.407267764244732,10.66622400280318,10.432541900388259,10.34318571544788,10.059344460824425,10.615629636968098,9.751544059089099,10.066089190457772,9.12670447284319,9.290018846932618,9.984418458801137,9.672425341971495,9.121533517340032,9.296916206879288,8.81698362325538,8.971543553950772,9.874981347653774,9.283088353024002,9.366322214245816,9.285402218862249,9.560332834212442,9.124121311829187,9.231221180711186,9.667111542075027,9.899356922923111,9.207014320177532,9.76487159073609,8.535275376620802,9.499845887083206,9.800899899920305,9.965784284662087,9.092757140919852,9.005624549193879,9.778077129535358
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,8.308339030139408,9.204571144249204,9.682994583681683,8.422064766172813,8.873444112515376,8.46352437327118,8.543031820255237,8.761551232444479,8.603626344986193,8.599912842187127,8.826548487290914,8.700439718141093,9.079484783826816,8.224001674198105,8.134426320220927,8.977279923499916,8.076815597050832,8.189824558880018,8.129283016944967,8.066089190457772,8.129283016944967,8.257387842692651,7.734709620225838,8.344295907915816,8.044394119358454,8.214319120800766,7.2384047393250786,7.977279923499917,7.807354922057604,7.643856189774724,7.417852514885898,7.022367813028454,7.257387842692652,6.845490050944375,7.22881869049588,8.134426320220927,7.219168520462161,7.894817763307944,6.554588851677638,7.417852514885898,7.247927513443585,7.366322214245816,7.285402218862249,7.189824558880018,7.22881869049588,7.149747119504682,6.845490050944375,7.658211482751795,7.977279923499917,7.366322214245816,7.400879436282184,7.599912842187128
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,2.321928094887362,3.0,4.087462841250339,4.754887502163468,3.807354922057604,3.321928094887362,2.807354922057604,0.0,3.0,2.807354922057604,3.321928094887362,4.087462841250339,3.169925001442312,2.0,2.807354922057604,4.700439718141092,3.584962500721156,4.087462841250339,3.321928094887362,3.169925001442312,2.321928094887362,4.247927513443585,5.0,2.584962500721156,3.321928094887362,2.321928094887362,1.584962500721156,2.807354922057604,0.0,3.0,4.0,3.584962500721156,2.0,0.0,3.321928094887362,2.584962500721156,2.807354922057604,2.321928094887362,2.0,2.584962500721156,3.321928094887362,2.321928094887362,0.0,2.321928094887362,3.4594316186372973,4.523561956057013,4.0,2.584962500721156,3.321928094887362,3.321928094887362,2.584962500721156,0.0
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,9.090112419664289,8.717676423066395,8.98299357469431,8.643856189774725,8.957102041562287,8.679480099505446,8.67595703294175,8.912889336229961,9.074141462752506,8.960001932068081,9.087462841250339,8.614709844115207,8.515699838284043,8.98299357469431,8.933690654952233,8.974414589805527,9.134426320220927,8.89178370321831,8.696967526234287,9.113742166049189,9.12670447284319,8.89178370321831,9.103287808412022,9.535275376620802,9.030667136246942,8.51175265376738,7.6293566200796095,7.936637939002571,8.179909090014934,8.224001674198105,7.312882955284356,7.727920454563199,7.774787059601174,7.7615512324444795,7.900866807980749,8.204571144249204,7.622051819456376,7.882643049361842,7.636624620543649,7.839203788096944,7.400879436282184,8.174925682500678,8.243173983472952,8.20945336562895,8.31741261376487,7.741466986401147,8.228818690495881,8.224001674198105,8.31741261376487,7.7481928495894605,8.124121311829187,7.787902559391432
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,9.283088353024002,8.308339030139408,8.290018846932618,8.379378367071261,9.243173983472952,8.63662462054365,8.707359132080883,8.539158811108031,9.35974956032233,8.092757140919852,8.335390354693924,8.848622940429339,8.92481250360578,9.129283016944967,9.264442600226602,8.710806433699352,9.038918989292302,9.422064766172813,8.885696373339394,9.447083226209653,8.960001932068081,10.074141462752506,8.491853096329674,8.807354922057604,8.988684686772165,9.25502856981873,7.118941072723508,8.400879436282183,8.199672344836364,7.266786540694901,7.960001932068081,7.2384047393250786,7.906890595608519,8.280770770130603,7.451211111832329,7.098032082960526,7.7615512324444795,7.794415866350106,7.839203788096944,7.098032082960526,8.238404739325079,8.348728154231077,7.754887502163468,8.400879436282183,7.721099188707185,8.149747119504681,8.558420713268664,8.20945336562895,7.622051819456376,7.118941072723508,8.507794640198696,8.149747119504681
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,8.184875342908283,8.118941072723507,8.159871336778389,8.066089190457772,8.164906926675688,7.787902559391432,7.569855608330948,7.727920454563199,8.103287808412022,7.965784284662087,7.98299357469431,8.233619676759702,7.832890014164741,8.179909090014934,7.9886846867721655,8.055282435501189,8.451211111832329,8.113742166049189,8.233619676759702,8.562242424221072,7.912889336229962,9.052568050804153,8.016808287686555,8.214319120800766,8.144658242831882,8.108524456778168,6.794415866350106,8.016808287686555,7.357552004618084,7.426264754702098,6.584962500721156,7.483815777264256,7.622051819456376,7.159871336778389,7.400879436282184,7.0,6.894817763307944,7.451211111832329,6.614709844115208,7.087462841250339,8.194756854422248,7.3750394313469245,7.199672344836364,7.6865005271832185,7.936637939002571,7.98299357469431,7.599912842187128,7.189824558880018,7.483815777264256,6.754887502163468,7.912889336229962,7.285402218862249
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,6.475733430966398,7.400879436282184,7.475733430966398,8.778077129535358,7.906890595608519,6.930737337562887,8.038918989292302,7.400879436282184,7.864186144654281,7.348728154231077,7.257387842692652,6.9886846867721655,8.409390936137703,6.741466986401147,7.539158811108031,6.475733430966398,9.144658242831882,8.027905996569885,6.321928094887363,7.787902559391432,7.22881869049588,7.894817763307944,7.219168520462161,6.22881869049588,6.727920454563199,7.539158811108031,6.727920454563199,6.906890595608519,6.614709844115208,6.285402218862249,5.977279923499917,6.442943495848728,5.459431618637297,4.807354922057604,7.199672344836364,5.247927513443585,6.20945336562895,5.882643049361842,5.285402218862249,5.954196310386875,6.672425341971495,5.807354922057604,5.087462841250339,6.285402218862249,6.714245517666122,7.05528243550119,2.807354922057604,6.894817763307944,5.584962500721156,6.129283016944966,6.392317422778761,5.882643049361842
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,2.0,3.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,2.584962500721156,0.0,2.584962500721156,2.321928094887362,0.0,0.0,0.0,0.0,2.584962500721156,0.0,0.0,0.0,1.584962500721156,1.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,2.321928094887362,1.584962500721156,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,7.1799090900149345,7.076815597050831,7.622051819456376,5.614709844115208,6.965784284662087,6.303780748177103,5.727920454563199,6.22881869049588,6.965784284662087,6.741466986401147,6.700439718141092,7.6865005271832185,6.768184324776926,7.727920454563199,7.118941072723508,6.087462841250339,4.523561956057013,5.930737337562887,6.491853096329675,6.426264754702098,6.491853096329675,6.930737337562887,5.930737337562887,7.149747119504682,8.285402218862249,6.768184324776926,4.087462841250339,6.392317422778761,6.189824558880018,5.426264754702098,5.614709844115208,5.614709844115208,5.0,4.807354922057604,4.954196310386875,5.954196310386875,5.20945336562895,6.108524456778169,6.022367813028454,5.169925001442312,6.149747119504682,5.78135971352466,4.321928094887363,5.129283016944966,6.539158811108031,2.584962500721156,5.554588851677638,5.044394119358453,5.832890014164741,5.807354922057604,6.169925001442312,6.894817763307944
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,9.049848549450562,10.040289721025717,10.059344460824425,9.372865060112588,9.479780264029099,9.479780264029099,8.888743248898258,9.909893083770042,9.51175265376738,9.3151495622563,9.917372079476841,9.560332834212442,9.961449694398196,9.411510988012072,8.974414589805527,9.588714635582264,9.079484783826816,9.791162888555018,9.194756854422248,9.485829308701904,9.14210705730255,9.189824558880018,8.67595703294175,9.73978060977326,8.721099188707186,8.778077129535358,8.124121311829187,9.579315937580015,9.681238411777805,9.643856189774725,9.266786540694902,8.651051691178928,8.971543553950772,9.252665432450248,8.744833837499545,9.63662462054365,9.108524456778168,9.533329732305834,8.74819284958946,8.388017285345136,9.290018846932618,9.57742882803575,9.62935662007961,9.43879185257826,8.870364719583405,8.154818109052105,9.390168956200183,9.426264754702098,9.851749041416058,8.784634845557521,9.715961990255144,9.552669097514272
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,4.0,5.643856189774724,4.0,4.459431618637297,3.9068905956085187,4.857980995127572,4.523561956057013,2.807354922057604,4.087462841250339,3.4594316186372973,4.321928094887363,4.906890595608519,4.807354922057604,4.321928094887363,3.584962500721156,4.087462841250339,3.584962500721156,4.954196310386875,4.754887502163468,4.643856189774724,3.4594316186372973,5.129283016944966,4.584962500721156,4.247927513443585,4.0,4.523561956057013,3.9068905956085187,3.169925001442312,3.0,2.807354922057604,3.4594316186372973,4.169925001442312,2.807354922057604,3.169925001442312,4.169925001442312,2.321928094887362,3.0,3.0,3.169925001442312,3.700439718141092,3.700439718141092,3.584962500721156,3.321928094887362,3.4594316186372973,4.247927513443585,3.9068905956085187,3.169925001442312,3.807354922057604,3.0,0.0,2.584962500721156,3.584962500721156
