gene_symbol,module,score_group,rationale,ATS0263,ATS0264,ATS0265,ATS0266,ATS0267,ATS0268,ATS0269,ATS0270,ATS0271,ATS0273,ATS0274,ATS0275,ATS0276,ATS0277,ATS0278
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,12.7377029892591,12.4344425540913,12.4336890039068,12.5226207201624,10.6759137485487,10.8756661571112,10.3405290129403,10.1892787344103,10.7143895012013,10.9056699398846,11.3372252809423,11.1416362857015,10.9147697669256,10.9757581819052,10.8662714646459
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,7.88211693448475,7.71963214190736,7.74687293910196,7.88187242788839,7.67748941252989,7.6989187566778,7.79866979771097,7.63527648202221,7.11739799814446,7.12413021103872,7.29120517219729,7.93697164770645,8.12853583714544,8.0334242890677,8.03724425303929
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,7.03433168991368,7.34116312496324,7.26057603022806,7.41666441954679,7.74296500368786,7.52004406326305,7.84260976401384,7.51712790965047,7.86677218218081,8.16944815168872,8.13340240661777,7.5519625903397,7.3458096803115,7.52833504481636,7.34545299699149
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,4.1843994731234,4.40976577998503,4.52273446545641,4.29184702611342,4.60542371372718,3.92261503286662,4.48895126051682,4.47906818338845,3.82150399848503,3.97206102215057,3.71333438997108,4.03800237026693,4.37882006937747,3.84091090979679,4.43016176189894
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,9.556015617923,9.66300794929535,9.67671131544783,9.62589459420695,9.89348210767376,9.70560581464242,9.85031526051267,9.93096183897288,10.4127807933624,10.4378432338052,10.3290492905179,9.7842379585813,10.0214513535416,9.88106952387152,10.0453079539266
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,5.79575353901006,5.56308601222392,5.13497164181934,5.78325422486013,6.49937927873723,6.31256945274815,6.67243824270969,6.80391870990357,6.88941678620578,7.21572311504063,7.43038847006756,6.86944403492272,6.95663936833235,6.64436834091182,6.62423603394663
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,6.0715056828457,5.58696446783128,5.55076014282006,5.41535201336747,4.7229994801568,5.51778935018442,5.21463818725245,4.92561533732954,5.75382932722156,5.3412098620359,5.57513021121834,5.86811151593275,5.60895292110883,5.43035513674783,5.51360955265171
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,3.91920959320847,3.97959207145216,4.25676209369392,4.29184702611342,5.3358020205238,6.09411370528577,4.38587883867164,4.7422780923224,5.19544583483042,5.25467888637834,5.57513021121834,5.36198906363717,5.02373207789791,5.46026656093123,5.65973120988863
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,4.45775329255606,4.46746757085541,4.44077444693824,4.61158574425426,4.37946997241634,4.58753943848011,4.75340432133462,4.70217101769422,5.55688061413701,5.49928690904003,5.40107147508443,4.48698466346503,4.87819527732651,4.92174177085265,4.68714324170935
PARP1,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,11.6036472005543,11.4449981157246,11.5731810288391,11.5291183073366,10.7231337863637,10.7194008526921,11.0046798213458,10.9792002023053,11.277692098673,10.9661183679976,11.0696119969369,10.5379184793697,10.6623763238591,10.5216812441076,10.5044645345134
