gene_symbol,module,score_group,rationale,GC-DO-11238-3-2-PLA-12_S23,GC-DO-11238-10-2-PLA-40_S36,GC-DO-11238-3-1-KET-9_S30,GC-DO-11238-1-2-KET-4_S20,GC-DO-11238-8-2-PLA-32_S4,GC-DO-11238-6-1-KET-21_S37,GC-DO-11238-10-1-KET-37_S8,GC-DO-11238-7-1-KET-26_S34,GC-DO-11238-10-1-KET-38_S18,GC-DO-11238-4-1-KET-14_S28,GC-DO-11238-1-1-PLA-2_S32,GC-DO-11238-8-1-KET-29_S29,GC-DO-11238-3-1-KET-10_S38,GC-DO-11238-3-2-PLA-11_S24,GC-DO-11238-7-2-PLA-28_S16,GC-DO-11238-2-1-KET-6_S27,GC-DO-11238-1-2-KET-3_S7,GC-DO-11238-6-2-PLA-24_S3,GC-DO-11238-6-2-PLA-23_S12,GC-DO-11238-8-1-KET-30_S39,GC-DO-11238-2-2-PLA-8_S40,GC-DO-11238-2-1-KET-5_S35,GC-DO-11238-7-2-PLA-27_S10,GC-DO-11238-9-1-PLA-33_S5,GC-DO-11238-6-1-KET-22_S21,GC-DO-11238-9-2-KET-35_S15,GC-DO-11238-9-2-KET-36_S33,GC-DO-11238-4-1-KET-13_S11,GC-DO-11238-9-1-PLA-34_S22,GC-DO-11238-1-1-PLA-1_S19,GC-DO-11238-8-2-PLA-31_S14,GC-DO-11238-10-2-PLA-39_S9,GC-DO-11238-4-2-PLA-15_S25,GC-DO-11238-4-2-PLA-16_S17
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,1826.806555,1889.084607,1260.237115,2677.124016,1896.559154,1795.237147,2323.285092,1243.022943,1672.62269,3393.590353,1745.210504,1332.03426,1780.287847,1988.270229,2705.880924,2680.751384,2179.308487,3784.780394,1735.957653,1809.725783,2208.466602,2571.661167,1417.028831,1849.532072,2190.023533,1913.062261,2367.272682,1951.364032,2201.964456,2181.558522,1667.464798,1815.114656,1642.847878,2471.991617
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,810.631565,633.178798,974.922136,754.075483,855.59099,647.304711,819.978422,875.183059,711.694853,846.401956,703.460213,1095.023462,808.082912,891.56191,825.773437,801.953636,935.324422,819.946075,920.111495,810.331338,539.373339,722.434077,954.486796,856.50105,722.614663,885.251172,690.703778,909.130254,794.920439,892.556852,852.020896,516.324529,1090.518191,1006.298816
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,9.567517,9.432811,12.280981,2.049119,6.872226,14.438055,4.315684,5.064711,4.515823,0.0,18.869597,7.711461,2.865534,15.240584,3.586423,17.097525,7.398057,1.184892,11.110036,5.596202,10.947126,8.946566,10.144297,41.975625,4.493859,8.996449,2.788846,11.692986,2.737953,11.27441,4.009497,5.845189,19.725098,0.0
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,441.626259,539.576257,353.263416,352.448443,499.336206,437.850726,628.300183,378.114904,543.704408,312.632353,325.049871,442.047767,359.549508,527.14791,416.541602,409.236318,422.540724,329.400221,358.990008,451.560147,414.878181,474.584137,550.967877,406.72808,382.122617,328.430791,283.616791,372.713827,344.786764,367.906386,470.720691,486.129077,405.724712,268.893154
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,350.518993,351.372133,339.144082,439.184263,352.774419,327.262531,373.306688,303.882672,365.781494,284.589219,378.901292,371.863673,324.760627,337.986434,259.119172,255.648628,396.324541,260.676291,342.391099,296.598693,199.426055,258.286861,282.195845,206.879897,268.732842,215.015236,230.544592,388.791771,211.735053,353.264817,365.866553,318.562859,324.994499,388.299548
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,226.14132,178.044287,222.946989,170.076881,172.951044,173.256656,137.022938,227.911966,149.925361,231.171122,217.377825,233.05743,170.021694,225.324325,223.254842,159.576972,160.643502,227.499236,179.780578,202.582561,174.586595,186.759607,225.018949,219.872307,195.932211,186.226512,201.726506,222.166771,180.704904,242.399775,186.441648,181.200892,221.672529,187.769387
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,41.74916,84.895298,88.800928,30.736784,44.669479,107.082261,91.708282,44.56945,62.318375,31.314024,86.045371,54.837048,42.027827,65.371878,40.34726,83.859275,30.649095,49.765469,72.720209,62.677467,115.681293,63.744267,83.921005,152.911267,76.395615,122.351768,114.342681,97.928743,43.807242,43.218554,54.128219,76.961647,85.475453,32.814063
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,2.609323,2.358203,1.889382,2.049119,0.0,0.0,0.0,2.025884,0.0,0.0,3.019136,2.570487,5.731068,2.781782,5.379635,0.814168,0.0,7.109353,1.010003,1.11924,0.0,3.354962,0.922209,0.0,1.797544,2.698935,0.0,4.38487,0.912651,0.939534,4.009497,0.974198,0.93929,0.911502
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,112.200899,53.059588,114.307632,49.178848,43.524108,113.098137,69.050959,22.284725,55.996216,101.310078,25.662657,83.112405,117.486967,140.47994,95.040261,190.515102,68.69624,63.984171,36.360124,63.796703,131.295021,106.2405,97.754082,48.971574,38.647187,71.071959,15.803459,118.391501,43.80726,45.097633,93.220801,42.864724,140.893471,92.061683
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,785.404872,782.922655,1177.086213,1242.7936,920.878823,984.193679,980.738305,810.998299,896.841403,862.05419,1018.961288,1161.007033,1112.781506,1019.523036,691.283217,807.653209,1399.287152,1207.406775,1277.655079,942.398982,660.023572,800.718301,797.710041,1211.297221,815.774418,1394.450053,1217.797318,928.128947,1136.250642,1416.818666,1127.672663,705.320375,1027.581494,988.97917
