gene_symbol,module,score_group,rationale,1_TPM,2_TPM,3_TPM,4_TPM,5_TPM,6_TPM,7_TPM,8_TPM,9_TPM,10_TPM,12_TPM,13_TPM,14_TPM,15_TPM,16_TPM,17_TPM,18_TPM,19_TPM,20_TPM,21_TPM,22_TPM,23_TPM,24_TPM,25_TPM,26_TPM,27_TPM,28_TPM,29_TPM,30_TPM,31_TPM,32_TPM,33_TPM,34_TPM,36_TPM,37_TPM,38_TPM,39_TPM,40_TPM,41_TPM,43_TPM
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,4.446881615126692,3.007836855687206,2.9920441828424638,4.99739218231232,3.6762819660507224,4.746081776973716,4.7662636005801895,3.066021317596021,5.391976940924606,4.408972256209477,4.977875152846247,4.608818821192768,4.975480333361375,4.8685988656984955,4.441258704952935,4.39434332970238,4.524002036368258,4.961537995629846,3.81469981207921,4.492809382315798,4.737611163939461,4.568292034077877,4.452617045975667,5.1606182374833445,5.012714544585951,5.007431310733247,5.006509026185324,4.291661311823085,3.2929451472698035,4.029878210508521,4.819474653207169,4.499966398895148,4.305152737748164,4.59865080970605,4.714056278625821,4.089562301207125,4.3448091142025635,4.1194595194445105,4.201658324052072,4.843922508112018
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,2.850395796029386,3.015469023504667,2.8570131694260352,3.31434559634567,2.9308678837321276,2.9762257756937593,3.149765000684517,3.2092122204458544,3.31915993877581,2.727265049958079,3.157652521896862,3.2502232157634805,3.2974028887115288,3.2990586665302377,3.1850339810634196,3.1258967091717813,3.38625307010089,3.063394218367853,3.1314790227315155,3.1119949579000794,2.9783781520129082,3.07560656097625,3.059007715163348,3.281908890449169,2.9516467247943363,3.2050302296791546,3.1557746479748845,3.1298281702188007,3.350643913624534,3.467417873409539,3.051227476911425,3.228842235086825,2.9502819528971798,3.3072001532666717,2.7960559149240884,2.9086847692139672,2.878801446294743,2.5796558983111453,2.8383017524594485,3.1679352756197234
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,2.1379120109193557,2.5870783438461444,1.8012985720989776,3.3579193172750634,1.6570129482253335,2.955348888970447,3.7890827624787677,1.9508931347975589,2.364885029042059,1.3458334894806256,3.911017431773221,2.7175483362170594,2.567021621159368,2.862902627896662,3.0160603433288244,1.8527599476827563,3.9102594877770587,2.1827949349440448,2.224693538688151,1.7126640069745123,3.315563477081511,2.1535527612885623,1.744233874469558,3.520549602388985,2.8369055407811414,3.8148533883680513,3.235972082773581,2.441376973311259,2.4547396977446034,3.094667800150298,3.0860146672084694,3.193824404746327,1.6247045239189513,2.4056452544936557,2.010613006306155,1.3803465627254603,2.006621539144593,1.1115341642651584,2.123980324160478,2.9190763111736793
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,3.0333791253203146,3.0809490719533343,2.8536254476361984,3.815672868965672,2.6620473187297367,3.455242382409462,3.430388051301064,3.764605712365493,3.2253714971140504,2.4960846888539265,3.839861557463908,3.838384659214599,3.4445745766308526,3.758326418706361,3.7330216146028983,2.8751059272113832,3.479103000212899,3.431862007445483,3.273566465198121,2.5746603079089274,3.5332994529148363,3.0009689852485546,3.075654134174009,3.480874002181826,3.449235823626282,3.4496040275752304,3.9225634243927567,3.0732241846037556,3.7130973901600988,3.4272701305096147,3.4747453166482485,3.566339777688097,2.2679549127531953,3.205006293251448,2.7135708931571556,2.5993346964618986,2.965123586817665,2.1605685045339778,2.7310087605219913,3.452350308583962
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,5.570509532480615,5.579345658677586,5.723629165523682,4.962018950283219,5.4402745966290444,5.59639939767961,5.227523607976841,6.155113603477716,5.849814908880146,5.212972482322169,5.184992895455107,5.406318834563689,4.9430435841622815,5.599881608245049,5.2910534919961885,4.31266081758853,5.674772506870629,5.349118107134307,5.102837449396158,5.6675985335927,5.2932025352499235,4.506512894379634,5.261400192023707,4.829430945081642,5.464742948061048,5.526992836128549,5.414685641664224,5.3987182831831175,4.863915908137845,5.352953535533956,5.384956457436051,4.695478981919346,4.638063118322322,5.345491082855809,4.025518058080919,3.9170262925190515,5.02760676938315,5.402251921588195,5.156408388203322,4.932447738001876
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,5.762439313480225,5.278155927039979,5.3864085287751005,4.758629377823364,5.84939394093515,5.178191599295054,4.674761351177208,5.082686198845537,4.922159258642859,5.7849749543527365,4.943218884624688,4.925512141956837,4.76374331369105,4.920636780826804,4.723124923309559,5.553999405701851,5.0101966017987065,4.7728197537259565,4.569484894384161,5.748986261277753,5.0287006418462425,5.839217547184037,5.422630326355363,4.785946375464453,4.571933960486659,4.9468248380889905,4.7454104774192665,4.967470859222327,4.38859507450386,4.871974756332661,5.519842948324745,4.635570879939994,5.843588053288466,5.0533991080358245,5.722244384350614,5.620297813257015,5.542708248972848,5.760315304154199,6.05078629038196,4.748304986252351
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,4.14633711319528,4.540892230048727,4.123931835780531,3.796405672621643,4.583397951592619,4.432971897220774,3.6588955865030885,4.440650542269326,4.085777128450606,4.4428250905003965,4.0295604875647495,3.8590638039122522,3.7484458828188876,3.4612418516609127,4.031433045349284,4.351188302202413,4.185910301112764,3.8023378928674942,3.5666836618884505,4.102189473275554,4.1246499756149575,4.472420834058908,4.559292036892448,3.822790607324956,3.9723801893961097,3.2918716810891833,3.624502406421955,4.366055754468894,3.405894906417541,3.646089713943229,4.171932236697348,3.8869277933086295,4.511692003964596,4.6637608571106375,4.5302953340768894,4.2408018626050135,4.487617608559951,4.148958664289238,4.3397991336293344,3.5373806878065843
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,1.6870158834503441,0.6485777249704586,0.7643053860085588,0.6960882085860906,1.2640655641928298,1.133390576087921,0.725128617162923,1.322225836417933,0.5562871622616735,1.7302712744185504,0.8712774964321335,0.7792050797585439,0.6693189043589381,0.4390007164178034,0.7871298513188926,1.6245721214428395,0.473921955054604,0.6862226065359118,0.3656757420469102,2.1593692318949715,0.501545129987559,1.8245475122482055,1.5381090159821957,0.49214545290016287,0.4372042975918206,0.5761815588099084,0.4394614402775314,1.213931396631535,0.18765121209919297,0.23709498043063018,1.4801777303531785,0.6998110100378412,1.6146504862981568,1.2699637138204802,2.198068825940031,1.9782948573240093,2.014994722247273,2.5863650800870217,1.3844958125208149,0.48807483242176836
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,5.096445889529387,4.597820816382082,4.763465276146749,2.0427136691449768,5.058308875092689,3.383612648192135,1.8086152868241332,2.564301824440675,2.415727032869882,5.4003838494496526,1.8125302620492256,3.4229657359557555,2.0229763687957054,2.6343790553084943,3.0221236439758785,5.233022612991955,1.4830588650430647,1.5408728931298554,2.0014160313724862,5.604492147209822,2.0884866216616964,5.64507864429671,3.7563721795212843,1.160982127246788,1.8274150134416662,2.4970292942748404,1.415152910265737,3.892998772827081,1.5443745956643176,1.6977173380950166,3.842560842093656,1.2115872872801496,5.393921563204786,4.237980849561176,4.7322430918041745,5.120302127041361,5.2658806935558236,5.367525007814312,5.062623121936568,2.5717767880637146
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,4.749558294509273,3.6600065066318264,3.3760655699265225,2.174595612030891,4.123226501413288,3.2727797334952493,1.3617750957226837,1.218505309277659,2.0490671702416656,4.692145170960901,1.0645324796542404,2.372298559451517,1.4123474323466585,1.5113157158341297,1.2005890972070172,4.79505300692899,1.2754219117075698,2.1309288935305184,0.8523456816473479,5.027445941192397,2.2202980666324605,4.618220621794732,3.9834062747026624,1.5396516632330912,1.7843950961759854,1.237809041271678,1.781201060808625,3.2943151959972954,0.8045451152787109,1.3481831197054535,3.88667665803611,1.3580569298886802,4.247141562119138,3.839776921868092,4.828484136569329,4.603235659229714,4.454630744291633,4.574501373549514,4.40039700035834,1.8696073155283632
