gene_symbol,module,score_group,rationale,I02APOST,I02APRE,I04APOST,I04APRE,I05APOST,I06APOST1,I06APRE2,I07APRE,I09APRE,I10APOST,I10PRE,I11APOST,I03BPOST,I03BPRE,I04BPOST,I04BPRE,I06BPOST,I06BPRE,I07BPOST,I07BPRE1,I09BPOST,I10BPOST,I10BPRE,I11BPOST,I11BPRE
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,11.521109643651332,11.551227603598289,10.804937672051908,10.854868383260236,11.690434556395054,12.450953464712992,11.757390009366638,12.351767443959893,10.985130373466898,11.501837184902296,11.219773550892874,12.62044895201331,11.607792641919211,11.486835021563051,11.192909219112012,11.066761932386909,11.523071826940395,11.886458695703706,11.874212934830874,13.473705749619416,11.886077584873094,12.249113452713729,11.352595231134304,12.623195635452936,12.679040186393062
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,9.964340867792417,10.107217075591382,9.79603960882977,9.800899899920305,9.840777923595054,9.73640193131829,9.79603960882977,11.023754353299417,10.243173983472952,9.497851836951117,9.605479518061669,10.891024190149498,10.138271800172221,10.60733031374961,10.413627929024173,10.27262978497637,9.335390354693924,9.89026427702111,9.94982671075911,11.726643921483994,10.25502856981873,10.806549621985962,9.917372079476841,10.993646060016596,11.064742764750257
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,2.807354922057604,3.321928094887362,4.392317422778761,4.459431618637297,2.321928094887362,4.392317422778761,3.807354922057604,3.0,2.321928094887362,4.392317422778761,2.807354922057604,5.129283016944966,1.0,4.643856189774724,6.022367813028454,2.321928094887362,1.584962500721156,3.807354922057604,1.0,4.906890595608519,4.087462841250339,4.754887502163468,3.584962500721156,4.954196310386875,4.392317422778761
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,8.546894459887637,9.044394119358454,8.546894459887637,9.057991722759176,8.800899899920305,8.625708843064466,8.83605035505807,9.605479518061669,8.787902559391432,8.262094845370179,8.184875342908283,9.3151495622563,8.668884984266247,9.00842862207058,8.707359132080883,8.86418614465428,8.379378367071261,8.842350343413807,8.7714894695006,10.722807531169547,8.39231742277876,9.219168520462162,8.558420713268664,9.67065624911844,9.691743519171276
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,8.72451385311995,8.88264304936184,7.839203788096944,8.475733430966399,5.930737337562887,8.632995197142957,8.988684686772165,9.074141462752506,9.084808387804362,8.326429487122303,8.405141463136344,9.273795599214264,8.721099188707186,9.100662339005199,7.936637939002571,7.569855608330948,8.016808287686555,8.531381460516313,7.870364719583405,9.656424863277781,8.640244936222345,9.219168520462162,8.62935662007961,9.59245703726808,9.453270634010623
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,8.113742166049189,8.370687406807217,8.479780264029099,8.951284714966972,7.936637939002571,8.0,8.375039431346925,9.057991722759176,7.948367231584678,7.820178962415188,8.038918989292302,9.426264754702098,7.794415866350106,8.375039431346925,9.068778277985412,7.977279923499917,7.636624620543649,7.599912842187128,7.94251450533924,9.581200581924957,7.912889336229962,8.686500527183219,8.139551352398794,8.980139577639157,8.88264304936184
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,5.754887502163468,7.05528243550119,5.643856189774724,5.754887502163468,6.321928094887363,5.754887502163468,6.20945336562895,6.3750394313469245,6.768184324776926,6.6293566200796095,6.584962500721156,7.011227255423254,4.857980995127572,6.426264754702098,6.569855608330948,5.954196310386875,4.700439718141092,6.108524456778169,5.754887502163468,7.787902559391432,5.882643049361842,7.219168520462161,6.20945336562895,7.467605550082998,7.022367813028454
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,6.491853096329675,6.768184324776926,4.087462841250339,5.129283016944966,5.426264754702098,5.20945336562895,6.6865005271832185,6.523561956057013,6.870364719583405,5.044394119358453,5.672425341971495,5.754887502163468,4.459431618637297,5.0,4.954196310386875,5.321928094887363,4.087462841250339,5.882643049361842,5.20945336562895,8.204571144249204,6.266786540694901,6.918863237274595,6.189824558880018,4.523561956057013,5.954196310386875
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,9.946906274456397,10.004220466318195,10.304921669581672,9.94251450533924,9.984418458801137,10.219168520462162,10.694357887221452,11.309476353841106,10.791162888555018,9.94104760634058,10.302638923787553,10.75905593916017,10.096715154488535,10.722807531169547,10.293471648838134,10.17367713630342,10.191059214531656,10.44190670454224,10.153552031708111,12.002111776479852,10.449148645375436,11.163020639580793,10.293471648838134,10.600842114387302,11.173052457774116
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,4.584962500721156,4.643856189774724,5.426264754702098,5.857980995127572,4.807354922057604,4.906890595608519,5.129283016944966,5.357552004618084,4.754887502163468,4.247927513443585,3.0,6.459431618637297,5.169925001442312,5.392317422778761,6.357552004618084,4.700439718141092,4.523561956057013,4.321928094887363,4.643856189774724,5.523561956057013,4.247927513443585,4.807354922057604,4.169925001442312,5.857980995127572,5.906890595608519
