gene_symbol,module,score_group,rationale,CTR_RNA_S1,CTR_RNA_S2,CTR_RNA_S3,CTR_RNA_S4,Exercise24H_RNA_S5,Exercise24H_RNA_S6,Exercise24H_RNA_S7
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,4.616411926441736,4.363911932989928,5.197018172479211,4.495860334076895,4.329407513705076,5.106530864495707,4.59548271453834
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,3.4474141565490704,3.848351926149116,3.9814165830371824,3.8627437690519706,3.775268984171972,3.70243513846494,3.7738309540967387
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,0.0,0.028123545211875663,0.0694725818347674,0.054441478896938275,0.10916395164338734,0.0,0.013220688660812314
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,3.638712537366523,3.3616309600316927,3.425983569524265,3.464878383370862,3.370269060485211,3.157754046377545,3.797844311840708
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,3.6486051038731575,3.7851776416826874,3.023243462882587,3.7406398558682326,3.916847875673315,3.6443680825659497,3.741462132465741
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,2.645156106981686,2.44437102428017,2.50213631113364,2.9661609520156142,2.476476827121968,2.883539882342526,2.6084198989900207
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,2.1374799158197457,1.6979552568437961,1.2460024337652262,1.681729905735392,1.5875944596179863,2.242846668832999,0.9705164953909253
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,0.10850170801614238,0.2064931959012918,0.008277475740016414,0.0,0.00396340489021445,0.0,0.0
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,1.990884810861716,2.127805270415489,1.7152203951010565,1.677201066048994,1.5762642920949366,1.734009370689454,2.0034316935707457
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,3.698954420627321,3.852374947834834,3.9549561778344535,3.666870980570806,3.2554593400476444,3.3855623233713437,3.5062237525780735
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,0.4315876607188268,0.8540563069374182,0.6860109923371469,0.2687960700325774,0.3018861043584607,0.6003382703799519,0.5212236488709288
PARP1,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,5.386338648603644,5.117893482694275,5.295913192121146,5.306993574514554,5.123850038975308,5.123365079409894,5.286740862525842
PARP2,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,3.9721486462310667,3.9974298049231836,4.249107610794619,3.9836474178472736,3.727021784024891,3.64803291482667,3.5681867057113994
SIRT1,sirtuin_repair,repair,NAD-dependent deacetylase linked to mitochondrial biogenesis and inflammatory restraint,2.3698101210179083,1.9328764265932201,2.4571314416006396,2.4940853016734494,1.9720790565248667,2.1445998405388824,2.1418767796900893
SIRT3,sirtuin_repair,repair,NAD-dependent mitochondrial deacetylase and oxidative metabolism regulator,4.632315800381825,4.526739221032343,4.683371446432496,5.050038384739507,4.849936878064882,4.675504611859109,4.907198578123785
SIRT6,sirtuin_repair,repair,NAD-dependent chromatin and DNA repair regulator,2.9569757058735857,2.4267864462566764,2.1808480286271044,2.4123501424458955,2.671746946098016,2.3581537292616916,2.6284101348910265
PRKAA1,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha1; energy stress and exercise adaptation,2.80492605947941,2.2722065759050523,2.4371091965072154,2.481810924754172,2.2113841925794437,2.5076163057284364,2.185512010970998
PRKAA2,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha2; skeletal-muscle energy adaptation,4.038179437761861,3.675000883082234,4.268966023656664,3.665407893790534,3.9013763816911875,3.781566607388526,3.83343540165239
PPARGC1A,ampk_mitochondria_repair,repair,PGC-1alpha mitochondrial biogenesis and endurance adaptation regulator,2.6877046049053193,3.1010455772207264,3.356048848461601,3.658739212627123,3.4400897772515875,3.1802876035348615,3.14198530402434
TFAM,mitochondrial_biogenesis,repair,Mitochondrial transcription factor and mtDNA maintenance marker,3.111624131556782,3.0314423089573355,3.194781276629879,2.9654871281319846,3.2333627487196104,3.232703883518702,2.7718936052004386
NRF1,mitochondrial_biogenesis,repair,Nuclear respiratory factor involved in mitochondrial biogenesis,2.860452948911161,2.768852309978932,2.9595396393753193,2.762432164224802,3.0213086193175265,2.639501225097983,2.536486638507536
NFE2L2,oxidative_stress_repair,repair,NRF2 antioxidant and stress-adaptation regulator,4.039576488961107,3.470573956910453,3.897067291781657,3.709728672023537,3.6668909721012373,3.848806892660736,3.8497496176100494
SOD2,oxidative_stress_repair,repair,Mitochondrial antioxidant defense marker,8.192191082387543,7.941177774709581,8.04623194726713,8.059295335343034,8.014473003742937,8.143617159082272,8.058956435906465
CAT,oxidative_stress_repair,repair,Antioxidant enzyme relevant to oxidative stress resolution,5.609134374125555,5.4976743765426015,5.039558899283868,5.942036483572741,5.357682615388373,5.302581461573272,4.848572366979237
GPX1,oxidative_stress_repair,repair,Glutathione peroxidase and oxidative damage protection marker,6.626388918938251,6.862247309190728,6.5679301332824656,6.5021540574684025,6.808986125590529,6.734781604171261,6.735639770562534
NFKB1,nfkb_inflammation,inflammatory,NF-kB transcription factor subunit linked to chronic inflammatory signalling,2.9245345294573775,2.456404293501788,2.400423711705141,2.2883237126397287,2.758403390421787,2.599328030606917,2.6447690691502093
RELA,nfkb_inflammation,inflammatory,NF-kB p65 subunit and inflammatory transcriptional activation,4.398232079280443,3.9805255854736745,4.244276904475849,4.290417768396561,4.047025205488061,4.036470365011262,4.154893268974857
TNF,nfkb_inflammation,inflammatory,Canonical inflammatory cytokine relevant to obesity inflammation,0.04267235063246102,0.09805567135813736,0.12179126273579521,0.2533648706360007,0.07877376800043329,0.1991817058454224,0.2987826400240537
IL6,nfkb_inflammation,inflammatory,Exercise-responsive and inflammation-associated cytokine with context dependence,0.0,0.45846705135683846,0.0,0.21443569750810482,0.0,0.0,0.12076464872274424
IL1B,nfkb_inflammation,inflammatory,Inflammasome-related inflammatory cytokine,0.09488057741568945,0.5586212836846738,0.0,0.04410869981702833,0.0,0.0,0.20022937274397315
CCL2,nfkb_inflammation,inflammatory,Monocyte recruitment chemokine relevant to adipose inflammation,0.9680074144103719,0.5742013182986555,0.984396856666675,1.0444542741157286,0.30288285684145533,1.3690269775252768,1.8959633174299642
CXCL8,nfkb_inflammation,inflammatory,Neutrophil/innate immune chemokine and inflammatory activation marker,0.0,0.0,0.0,0.14182643731752803,0.0,0.0,0.0
TLR4,innate_immune_inflammation,inflammatory,Innate immune receptor linked to lipid-induced inflammation,0.32246121645967607,0.3250904763877251,0.3199323334744991,0.3496698647217422,0.3970504836903365,0.3872820212052779,0.2639658456359633
NLRP3,innate_immune_inflammation,inflammatory,Inflammasome component relevant to metabolic inflammation,0.26685848629000025,0.35355929789598045,0.13403426463532517,0.12978020763328973,0.034291792953274745,0.03623041789586418,0.061459633838437486
CASP1,innate_immune_inflammation,inflammatory,Inflammasome effector supporting IL1B maturation,0.8096095344538847,1.7386221550693857,0.6765418372900079,1.194407335215898,0.9991471151785378,1.024502664306509,0.6434757297842935
ITGAM,monocyte_macrophage,inflammatory,Myeloid/macrophage marker useful for immune-cell infiltration context,0.9074237171808324,0.6517043020471599,1.1173585962112513,0.4586035363849619,0.5450451442010429,1.2853909731955362,0.4469760742206356
CD14,monocyte_macrophage,inflammatory,Monocyte marker and LPS co-receptor,1.0548151435843238,1.5580775482990938,1.23582139859487,1.0877900413244435,1.1050316700826184,1.0170966641853763,1.3360148216132461
CD68,monocyte_macrophage,inflammatory,Macrophage marker used for tissue inflammatory burden,1.2295184010060547,1.5490308433395004,0.8729847394264159,0.7202968545521563,1.0180437304349514,1.10581483246684,1.0820567059164892
ADGRE1,monocyte_macrophage,inflammatory,Macrophage marker; human ortholog context should be checked per dataset,0.0,0.031213083353024175,0.07696810857172376,0.0,0.0,0.22867710707539474,0.0
MRC1,macrophage_resolution,repair,Macrophage alternative activation/resolution marker,0.19082089963981586,0.058486907124965994,0.24055613223764877,0.1546519010096266,0.16851495984763976,0.2323402587203016,0.21966975538309305
ARG1,macrophage_resolution,repair,Resolution/repair-associated macrophage marker; human tissue context should be interpreted carefully,0.0,0.0,0.07159793734099311,0.0,0.0,0.0,0.0
