gene_symbol,module,score_group,rationale,RNA_HMuscle_PreP9,RNA_HMuscle_PostP9,RNA_HMuscle_PreP11,RNA_HMuscle_PostP11,RNA_HMuscle_PreP16,RNA_HMuscle_PostP16
NAMPT,nad_salvage_core,both,Core enzyme of NAD salvage and focal gene for iNAMPT/eNAMPT biology,5.2420574483627025,5.42662920724399,5.58392464943273,5.974183831926995,5.596366954438728,6.159282011702647
NMNAT1,nad_salvage_core,repair,Nuclear NMN adenylyltransferase supporting NAD synthesis,4.460053679532894,4.031593517920807,4.126833716012147,4.477729905977627,4.0168022272406025,4.063741674776306
NMNAT2,nad_salvage_core,repair,Cytosolic/Golgi-associated NMN adenylyltransferase and stress-response NAD biology,0.11040467263704339,0.3466415179315368,0.3112391978777444,0.19083101124699114,0.15234958718163946,0.4002898084194552
NMNAT3,nad_salvage_core,repair,Mitochondrial-associated NMN adenylyltransferase linked to mitochondrial NAD pools,4.053695509664032,4.098028544667621,4.017998226327381,4.221873369959615,4.3818452495590146,4.517301459890912
NAPRT,nad_salvage_core,repair,Nicotinic acid phosphoribosyltransferase and alternative NAD precursor pathway,1.8736990378910534,1.6892656090982947,3.7304608441263163,3.71877511205557,3.5061752497925185,3.8835158358758424
NADSYN1,nad_salvage_core,repair,NAD synthetase and terminal NAD biosynthesis step,1.8776504226490685,2.4225648362085437,2.205143492095124,2.276957539783948,1.9966335137887938,2.605827352681908
QPRT,nad_de_novo,repair,De novo NAD pathway from tryptophan/kynurenine metabolism,0.6916324256314107,1.5568889445529668,1.5524006813217077,1.6456684609955619,2.004354688308513,2.404159517631893
KYNU,nad_de_novo,inflammatory,Tryptophan-kynurenine pathway enzyme often coupled to inflammatory metabolism,0.6900236812036807,0.535332367782234,0.09571922211163558,0.7155182649945055,0.34999476225569237,0.36251028645118477
IDO1,nad_de_novo,inflammatory,Inflammation-inducible tryptophan metabolism node upstream of NAD-related pathways,2.9152185627975324,1.9352688845425026,3.3337840762312068,2.8492064598349693,2.54983499104503,2.1015270451298607
CD38,nad_consumption_inflammation,inflammatory,NAD-consuming ectoenzyme linked to inflammation and metabolic dysfunction,3.620940003340396,3.9596007491320853,4.122000408755368,3.5773335919129705,3.637627749489764,3.874483610370806
BST1,nad_consumption_inflammation,inflammatory,CD38 paralogue and immune ectoenzyme with NAD-related activity,0.8040692583125039,0.545959475752287,1.7964233244144157,2.0656319344041183,0.6506395813945017,1.5584836547286263
PARP1,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,4.962319089538107,5.285223461571887,5.377752656228553,5.150153820896873,5.17705562397391,5.556655949222029
PARP2,nad_consumption_repair,both,NAD-consuming DNA damage response enzyme; repair marker and NAD consumer,4.471819818019059,4.767557873838975,5.630710282000397,5.033176114367779,4.5961346419043805,4.687003841899044
SIRT1,sirtuin_repair,repair,NAD-dependent deacetylase linked to mitochondrial biogenesis and inflammatory restraint,2.1775201593446916,2.35146239832484,2.4315360477556234,2.118906198522599,2.1953790978700614,2.805615838972338
SIRT3,sirtuin_repair,repair,NAD-dependent mitochondrial deacetylase and oxidative metabolism regulator,4.257596782608388,4.494067503823753,4.556719090321406,4.377299319570011,4.187563329656612,4.546343630987985
SIRT6,sirtuin_repair,repair,NAD-dependent chromatin and DNA repair regulator,0.9892894468157151,0.8817162970231102,0.79698889812084,1.5176944549884033,0.4129884999767514,1.0227477466747739
PRKAA1,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha1; energy stress and exercise adaptation,3.5018764097547765,3.809229825083954,4.286763406651777,3.539444467469709,3.990081084830837,4.412405359609293
PRKAA2,ampk_mitochondria_repair,repair,AMPK catalytic subunit alpha2; skeletal-muscle energy adaptation,4.397445255078328,4.316661022647403,4.072624888599119,3.903557874630627,4.526712182814215,5.274626165976275
PPARGC1A,ampk_mitochondria_repair,repair,PGC-1alpha mitochondrial biogenesis and endurance adaptation regulator,4.414328443330324,4.574278169876892,4.433903462457259,4.649946321334316,3.971093408861215,4.830992255313217
TFAM,mitochondrial_biogenesis,repair,Mitochondrial transcription factor and mtDNA maintenance marker,4.742225509722632,3.8116297799035204,4.783999527302732,4.479114644179062,4.361716502862912,4.035751371484963
NRF1,mitochondrial_biogenesis,repair,Nuclear respiratory factor involved in mitochondrial biogenesis,1.8952044992209591,1.6940925671411726,1.5785731035419173,1.2351749931910403,1.4466347222378715,2.0252007024541703
NFE2L2,oxidative_stress_repair,repair,NRF2 antioxidant and stress-adaptation regulator,4.944186499340701,4.969164676072578,5.198784392170045,4.961255570121205,5.071423961686853,5.097774228200431
SOD2,oxidative_stress_repair,repair,Mitochondrial antioxidant defense marker,7.963710444192074,8.220912618470004,8.097553049747775,8.086804939013762,8.291904806297,8.98415718628654
CAT,oxidative_stress_repair,repair,Antioxidant enzyme relevant to oxidative stress resolution,6.243744815899258,6.42089164325803,6.876305524068023,6.541280401054452,6.048742335091315,6.499402377505068
GPX1,oxidative_stress_repair,repair,Glutathione peroxidase and oxidative damage protection marker,6.979096895196599,6.723832576517985,6.482141683075709,6.3940239800217755,6.093927352448171,5.848343737841135
NFKB1,nfkb_inflammation,inflammatory,NF-kB transcription factor subunit linked to chronic inflammatory signalling,2.0943590484436805,2.6693390887870656,3.0092100989684374,2.998492678556299,2.2290882761558226,3.2844781542554933
RELA,nfkb_inflammation,inflammatory,NF-kB p65 subunit and inflammatory transcriptional activation,2.9165888072283987,3.414655540292905,2.5640195844094626,3.02733119196974,2.8870972727191813,3.8925829838764026
TNF,nfkb_inflammation,inflammatory,Canonical inflammatory cytokine relevant to obesity inflammation,0.5603931242293969,0.04916931030063035,0.6755774942612627,0.08796515112628701,0.060135949280055404,0.06466353423526315
IL6,nfkb_inflammation,inflammatory,Exercise-responsive and inflammation-associated cytokine with context dependence,0.0,0.1876930137606311,0.19912892551490358,0.0,0.0,0.0
IL1B,nfkb_inflammation,inflammatory,Inflammasome-related inflammatory cytokine,0.3230218201181683,0.055559406360688415,0.2449321045945689,0.4686448289799601,0.5199142298577634,0.27233021446406586
CCL2,nfkb_inflammation,inflammatory,Monocyte recruitment chemokine relevant to adipose inflammation,3.3301547905128968,2.8736996283994753,4.449784397367122,4.863765286901402,3.5992282771694053,2.901165602038527
CXCL8,nfkb_inflammation,inflammatory,Neutrophil/innate immune chemokine and inflammatory activation marker,0.046066326371579584,0.09907836293030373,0.49393010727765635,0.17493686459191657,0.3191762724475024,0.304526227993614
TLR4,innate_immune_inflammation,inflammatory,Innate immune receptor linked to lipid-induced inflammation,1.4596409253884344,1.008287516793935,1.5983704462802577,1.448103813702402,1.0609424763883113,1.9547494546116144
NLRP3,innate_immune_inflammation,inflammatory,Inflammasome component relevant to metabolic inflammation,0.08556878258233476,0.1116590153236743,0.2621733408827997,0.4583568040225458,0.24622808118798478,0.19944809137900307
CASP1,innate_immune_inflammation,inflammatory,Inflammasome effector supporting IL1B maturation,2.856019188563136,1.8133473685126789,2.7005553510632967,3.257984410457908,2.1533367893650106,2.6789190142802677
ITGAM,monocyte_macrophage,inflammatory,Myeloid/macrophage marker useful for immune-cell infiltration context,0.23183296491785138,0.279588964838702,0.33044825767626906,0.25563850017001244,0.3361633963563651,0.6724479723044485
CD14,monocyte_macrophage,inflammatory,Monocyte marker and LPS co-receptor,2.6129579968830745,1.4510480698362247,3.530860186922258,2.9206433542768533,2.2197970499958104,2.021609066685202
CD68,monocyte_macrophage,inflammatory,Macrophage marker used for tissue inflammatory burden,2.0063095151405554,1.834121398205638,2.8768062914773163,2.4070843114634246,1.3949854514362643,1.8840988985902307
ADGRE1,monocyte_macrophage,inflammatory,Macrophage marker; human ortholog context should be checked per dataset,0.0,0.026606034792469594,0.0,0.0,0.0,0.06920170728394959
MRC1,macrophage_resolution,repair,Macrophage alternative activation/resolution marker,0.9265908022976033,1.049850988419739,1.5232236985075145,1.4816704186944476,0.6090939694672189,0.47491154154869253
ARG1,macrophage_resolution,repair,Resolution/repair-associated macrophage marker; human tissue context should be interpreted carefully,0.07723752898828662,0.0,0.0,0.2463071406687445,0.288784958057815,0.6024853860248865
PPARG,adipose_metabolism_resolution,repair,Adipose metabolism and anti-inflammatory transcriptional regulator,2.354978476168868,1.8821683979783979,1.950707661457902,2.5549367754867998,2.074493448107166,2.0960172219578603
ADIPOQ,adipose_metabolism_resolution,repair,Adipocyte metabolic health marker often reduced in obesity inflammation,0.7350082610536186,1.4453892935811712,1.3916813975864109,1.8735872306079528,1.0717008970196669,1.7699697260386815
LEP,adipose_metabolism_inflammation,inflammatory,Adiposity-linked hormone and inflammatory-metabolic signal,0.02060673944055842,0.21143839549590365,0.20230361798756405,0.5579903356275147,0.1834369681102406,0.11544747540021259
INSR,insulin_metabolism,repair,Insulin signalling receptor and metabolic health marker,2.63570076798766,2.6569745201168202,2.1994204498843954,2.376431811646546,2.267910580432168,3.0669381927224006
IRS1,insulin_metabolism,repair,Insulin signalling adaptor relevant to skeletal muscle and adipose metabolism,2.5600961745988946,2.713829301943528,2.084547010489901,1.9261854382920598,3.195491073194548,3.349289120763526
SLC2A4,insulin_metabolism,repair,GLUT4 glucose transport and exercise/metabolic adaptation marker,4.0396426347553955,4.475017741576784,4.295558251129907,4.665486006516939,3.8916996296134223,4.938075301156986
AKT2,insulin_metabolism,repair,Insulin signalling kinase relevant to glucose metabolism,3.8182143344221875,4.023542975369248,4.043986084991796,3.715859992741983,3.4906545846767827,4.427311436013627
MTOR,nutrient_sensing,both,Nutrient-sensing kinase; context-dependent growth/adaptation signal,2.229328583458295,2.5790869589920296,2.053494729519368,2.4894668941563016,2.118915166254778,3.2230964392867496
FOXO3,stress_repair,repair,Stress resistance and mitochondrial/autophagy-related transcription factor,4.247049556251698,3.9363763694023692,4.266883141819523,3.9075487952777057,4.65032352783787,5.314143048081948
ATM,dna_damage_repair,repair,DNA damage response kinase linked to repair signalling,3.1204562897630175,3.0502932447338846,2.9919045488249574,3.4362664655655393,2.3647329406985014,2.275751452981203
XRCC1,dna_damage_repair,repair,Base excision repair marker,2.447761935162704,2.507831420526497,2.1239634444315527,2.5389468279538048,1.824361357024198,2.8437274314482908
OGG1,dna_damage_repair,repair,Oxidative DNA damage repair enzyme,2.0254732320672524,2.1987546952943404,1.9422588793578253,2.3824597553156894,1.9341839546080304,2.3685216872073864
ATG5,autophagy_repair,repair,Autophagy machinery marker relevant to exercise adaptation and repair,4.827449464480875,4.505584705530141,4.493764522571566,4.900735208874709,4.262321448177827,4.398877260079827
BECN1,autophagy_repair,repair,Autophagy initiation marker,6.160544766832469,6.038702075032154,6.217461625902483,6.10986226005164,5.989472001639816,6.0361009978236675
MAP1LC3B,autophagy_repair,repair,Autophagosome marker and cellular repair process indicator,7.3943683954372155,7.410578167410442,7.404632378599957,7.2771813273385515,7.363985071083699,7.427520904102475
SQSTM1,autophagy_repair,both,Autophagy adaptor; accumulation may indicate stress or altered flux,8.108759434890999,7.831656476256775,7.592584295298148,7.6344945153782575,7.65669366219897,7.741058275030554
UCP2,mitochondrial_stress,both,Mitochondrial uncoupling and metabolic stress/adaptation marker,5.624725254566851,5.753812160110665,5.637796743596883,5.870510609366775,5.139134527264929,4.63753385532034
UCP3,mitochondrial_stress,repair,Skeletal muscle mitochondrial fatty acid handling and exercise adaptation marker,6.731856686068975,6.985194587981228,7.500925471804317,6.719000572499525,6.157861059672019,5.348593826873824
