dataset_id,contrast,case_condition,control_condition,case_n,control_n,NAMPT_z_case_mean,NAMPT_z_control_mean,NAMPT_z_delta,NAMPT_z_std_delta,inflammatory_score_case_mean,inflammatory_score_control_mean,inflammatory_score_delta,inflammatory_score_std_delta,repair_score_case_mean,repair_score_control_mean,repair_score_delta,repair_score_std_delta,balance_score_case_mean,balance_score_control_mean,balance_score_delta,balance_score_std_delta
GSE312393_24h_exercise,24h_exercise_vs_control,24h_exercise,control,3,4,0.0146,-0.011,0.0256,0.0256,-0.1741,0.1306,-0.3047,-1.1781,-0.1616,0.1212,-0.2828,-0.8499,0.0125,-0.0094,0.0219,0.0505
GSE312393_6weeks_training,post_training_vs_pre_training,post_training,pre_training,3,3,0.5535,-0.5535,1.107,1.107,0.0804,-0.0804,0.1607,0.4194,0.2151,-0.2151,0.4302,1.1263,0.1347,-0.1347,0.2694,0.9065
GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,active_post,active_pre,6,6,-0.0054,-0.4811,0.4758,0.511,-0.0122,-0.1341,0.122,0.2062,-0.1386,-0.1119,-0.0267,-0.0473,-0.1265,0.0222,-0.1487,-0.7918
GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,inactive_post,inactive_pre,7,6,0.1259,0.3396,-0.2137,-0.2046,0.1128,0.0147,0.0981,0.1176,-0.0344,0.2907,-0.3251,-0.3252,-0.1472,0.276,-0.4232,-1.3424
GSE292369_exercise_ketone_recovery,exercised_vs_rest,exercised,rest,18,16,0.3425,-0.3853,0.7279,0.7279,0.1215,-0.1367,0.2583,0.8923,-0.0433,0.0487,-0.0921,-0.7137,-0.1649,0.1855,-0.3503,-1.0817
GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,MICE_Placebo_Post,MICE_Placebo_Pre,10,9,0.2482,-0.4392,0.6875,0.8267,0.3629,-0.0614,0.4243,0.6648,-0.0932,0.0824,-0.1756,-0.4273,-0.4561,0.1437,-0.5999,-1.0161
GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,MICE_Placebo_Post24h,MICE_Placebo_Pre,10,9,0.6637,-0.4392,1.1029,1.0503,0.0006,-0.0614,0.062,0.0957,0.0751,0.0824,-0.0073,-0.0187,0.0745,0.1437,-0.0693,-0.1406
GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,MICE_Active_Post,MICE_Active_Pre,10,10,0.5784,-0.5942,1.1726,1.4236,0.2643,-0.2081,0.4724,0.9548,-0.5443,0.0518,-0.5961,-1.0112,-0.8085,0.26,-1.0685,-1.5659
GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,MICE_Active_Post24h,MICE_Active_Pre,10,10,0.7032,-0.5942,1.2975,1.0062,-0.2166,-0.2081,-0.0084,-0.0178,0.038,0.0518,-0.0138,-0.0301,0.2546,0.26,-0.0054,-0.0189
GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,SIE_Placebo_Post,SIE_Placebo_Pre,10,10,-0.4215,-0.8272,0.4057,0.6499,0.2522,-0.1142,0.3664,0.5666,-0.0718,0.0621,-0.1339,-0.2548,-0.324,0.1763,-0.5004,-1.3728
GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,SIE_Placebo_Post24h,SIE_Placebo_Pre,10,10,0.4796,-0.8272,1.3067,1.1577,-0.0462,-0.1142,0.068,0.1424,0.0714,0.0621,0.0093,0.0238,0.1176,0.1763,-0.0587,-0.1809
GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,SIE_Active_Post,SIE_Active_Pre,10,10,-0.2621,-0.578,0.316,0.548,0.1828,-0.2171,0.3998,0.8024,0.0716,0.1465,-0.0749,-0.1661,-0.1111,0.3636,-0.4747,-1.314
GSE318937_exercise_oleuropein,SIE_active_24h_vs_pre,SIE_Active_Post24h,SIE_Active_Pre,10,10,0.4051,-0.578,0.9832,1.0737,-0.2054,-0.2171,0.0117,0.0391,0.1186,0.1465,-0.0279,-0.0755,0.324,0.3636,-0.0396,-0.1231
