sensitivity_variant,sensitivity_variant_type,sensitivity_description,excluded_genes,excluded_modules,dataset_id,contrast,contrast_source,control_condition,case_condition,metric,control_n_raw,case_n_raw,pairing_keys,independent_unit_keys,analysis_design,analysis_n,paired_n,analysis_n_control,analysis_n_case,control_mean,case_mean,mean_delta,delta_sd,ci95_low,ci95_high,effect_size_name,effect_size,p_value,test_method,ci_method,q_value_global,q_value_metric,evidence_flags,mean_delta_primary,ci95_low_primary,ci95_high_primary,p_value_primary,q_value_metric_primary,evidence_flags_primary,delta_difference_vs_primary,abs_delta_difference_vs_primary,relative_abs_delta_difference_vs_primary,direction,direction_primary,direction_same_as_primary,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,direction_flipped
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_24h_exercise,24h_exercise_vs_control,predefined,control,24h_exercise,NAMPT_z,4,3,,,unpaired,7,0,4,3,-0.01096138565926727,0.014615180879024775,0.025576566538292045,,-1.2536314187404667,1.377690698208496,hedges_g,0.01966339897518053,0.9714285714285714,unpaired_label_permutation,unpaired_percentile_bootstrap_1000,1.0,0.9714285714285713,small_n;ci_crosses_zero,0.025576566538292045,-1.2536314187404667,1.377690698208496,0.9714285714285714,0.9714285714285713,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_24h_exercise,24h_exercise_vs_control,predefined,control,24h_exercise,inflammatory_score,4,3,,,unpaired,7,0,4,3,0.13058372539339586,-0.17411163385786063,-0.30469535925125646,,-0.6117963924678212,-0.044225730779399994,hedges_g,-1.1658647272191782,0.17142857142857143,unpaired_label_permutation,unpaired_percentile_bootstrap_1000,0.4202764976958525,0.46530612244897956,small_n;ci_excludes_zero,-0.30469535925125646,-0.6117963924678212,-0.044225730779399994,0.17142857142857143,0.46530612244897956,small_n;ci_excludes_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_24h_exercise,24h_exercise_vs_control,predefined,control,24h_exercise,repair_score,4,3,,,unpaired,7,0,4,3,0.12119762394010744,-0.16159683192014376,-0.2827944558602512,,-0.635476070464162,0.09824300427384611,hedges_g,-0.7334018356065384,0.3142857142857143,unpaired_label_permutation,unpaired_percentile_bootstrap_1000,0.6285714285714286,0.7464285714285714,small_n;ci_crosses_zero,-0.2827944558602512,-0.635476070464162,0.09824300427384611,0.3142857142857143,0.7464285714285714,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_24h_exercise,24h_exercise_vs_control,predefined,control,24h_exercise,balance_score,4,3,,,unpaired,7,0,4,3,-0.00938610145328838,0.012514801937716888,0.02190090339100527,,-0.4970982860616328,0.5640436740854796,hedges_g,0.038841474409901044,1.0,unpaired_label_permutation,unpaired_percentile_bootstrap_1000,1.0,1.0,small_n;ci_crosses_zero,0.02190090339100527,-0.4970982860616328,0.5640436740854796,1.0,1.0,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_6weeks_training,post_training_vs_pre_training,predefined,pre_training,post_training,NAMPT_z,3,3,participant,,paired,3,3,3,3,-0.5534810037836325,0.5534810037836325,1.106962007567265,0.5528607059164276,0.5387334035780513,1.6430527972601545,paired_cohen_dz,2.00224395715075,0.25,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.5277777777777778,0.3958333333333333,very_small_n;ci_excludes_zero,1.106962007567265,0.5387334035780513,1.6430527972601545,0.25,0.3958333333333333,very_small_n;ci_excludes_zero,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_6weeks_training,post_training_vs_pre_training,predefined,pre_training,post_training,inflammatory_score,3,3,participant,,paired,3,3,3,3,-0.08037433363915446,0.08037433363915436,0.1607486672783088,0.42742210133742586,-0.10215261550387456,0.6539337960290005,paired_cohen_dz,0.3760888048964195,1.0,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,1.0,very_small_n;ci_crosses_zero,0.1607486672783088,-0.10215261550387456,0.6539337960290005,1.0,1.0,very_small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_6weeks_training,post_training_vs_pre_training,predefined,pre_training,post_training,repair_score,3,3,participant,,paired,3,3,3,3,-0.21509121626668548,0.21509121626668606,0.4301824325333716,0.6352856522772825,-0.03180132101067229,1.1546478329977892,paired_cohen_dz,0.6771480372511393,0.5,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.8444444444444444,0.95,very_small_n;ci_crosses_zero,0.4301824325333716,-0.03180132101067229,1.1546478329977892,0.5,0.95,very_small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE312393_6weeks_training,post_training_vs_pre_training,predefined,pre_training,post_training,balance_score,3,3,participant,,paired,3,3,3,3,-0.13471688262753104,0.1347168826275317,0.26943376525506274,0.21698052059431272,0.07035129449320227,0.5007140369687888,paired_cohen_dz,1.241741721870147,0.25,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.5277777777777778,0.5277777777777778,very_small_n;ci_excludes_zero,0.26943376525506274,0.07035129449320227,0.5007140369687888,0.25,0.5277777777777778,very_small_n;ci_excludes_zero,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,predefined,active_pre,active_post,NAMPT_z,6,6,participant_id,,paired_intersection,4,4,4,4,-0.645326059673071,-0.3034719091402039,0.34185415053286705,0.5314641385885969,-0.061300346930828996,0.7827306618210879,paired_cohen_dz,0.6432308893704948,0.5,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.8444444444444444,0.59375,very_small_n;ci_crosses_zero,0.34185415053286705,-0.061300346930828996,0.7827306618210879,0.5,0.59375,very_small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,predefined,active_pre,active_post,inflammatory_score,6,6,participant_id,,paired_intersection,4,4,4,4,-0.24919243250833545,-0.2804272485312605,-0.03123481602292505,0.33004666266278027,-0.29176898624329295,0.23278775332930723,paired_cohen_dz,-0.0946375757019507,0.875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,1.0,very_small_n;ci_crosses_zero,-0.03123481602292505,-0.29176898624329295,0.23278775332930723,0.875,1.0,very_small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,predefined,active_pre,active_post,repair_score,6,6,participant_id,,paired_intersection,4,4,4,4,-0.25790935968998974,-0.40306163856880506,-0.14515227887881524,0.10422729683427502,-0.22703426593440004,-0.06327029182323049,paired_cohen_dz,-1.392651285100604,0.125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.3628472222222222,0.3392857142857143,very_small_n;ci_excludes_zero,-0.14515227887881524,-0.22703426593440004,-0.06327029182323049,0.125,0.3392857142857143,very_small_n;ci_excludes_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,predefined,active_pre,active_post,balance_score,6,6,participant_id,,paired_intersection,4,4,4,4,-0.008716927181654316,-0.1226343900375445,-0.11391746285589019,0.3357056353615582,-0.3962129508060571,0.19639659912672142,paired_cohen_dz,-0.3393373564706473,0.5,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.8444444444444444,0.95,very_small_n;ci_crosses_zero,-0.11391746285589019,-0.3962129508060571,0.19639659912672142,0.5,0.95,very_small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
