sensitivity_variant,dataset_id,axis_genes_detected,inflammatory_genes_used,repair_genes_used,excluded_genes,excluded_modules
drop_autophagy_dna_repair,GSE272133_muscle_bariatric,59,23,32,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE282850_muscle_cell_aicar_palmitate,47,16,27,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE292369_exercise_ketone_recovery,59,23,32,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE294150_visceral_adipose,59,23,32,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE305038_activity_inactivity_exercise,50,16,30,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE312393_24h_exercise,59,23,32,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE312393_6weeks_training,59,23,32,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE318937_exercise_oleuropein,59,23,32,,autophagy_repair;dna_damage_repair
drop_autophagy_dna_repair,GSE32575_monocytes_obesity_surgery,59,23,32,,autophagy_repair;dna_damage_repair
drop_classic_cytokines,GSE272133_muscle_bariatric,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE282850_muscle_cell_aicar_palmitate,47,15,34,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE292369_exercise_ketone_recovery,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE294150_visceral_adipose,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE305038_activity_inactivity_exercise,50,16,37,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE312393_24h_exercise,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE312393_6weeks_training,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE318937_exercise_oleuropein,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_classic_cytokines,GSE32575_monocytes_obesity_surgery,59,19,39,CCL2;CXCL8;IL1B;IL6;TNF,
drop_insulin_adipose_metabolism,GSE272133_muscle_bariatric,59,23,33,,adipose_metabolism_inflammation;adipose_metabolism_resolution;insulin_metabolism
drop_insulin_adipose_metabolism,GSE282850_muscle_cell_aicar_palmitate,47,17,29,,adipose_metabolism_inflammation;adipose_metabolism_resolution;insulin_metabolism
drop_insulin_adipose_metabolism,GSE292369_exercise_ketone_recovery,59,23,33,,adipose_metabolism_inflammation;adipose_metabolism_resolution;insulin_metabolism
drop_insulin_adipose_metabolism,GSE294150_visceral_adipose,59,23,33,,adipose_metabolism_inflammation;adipose_metabolism_resolution;insulin_metabolism
drop_insulin_adipose_metabolism,GSE305038_activity_inactivity_exercise,50,17,31,,adipose_metabolism_inflammation;adipose_metabolism_resolution;insulin_metabolism
