sensitivity_variant,metric,contrasts_evaluated,direction_agreement_pct,direction_flips,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,median_abs_delta_difference,median_relative_abs_delta_difference
drop_autophagy_dna_repair,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_autophagy_dna_repair,balance_score,19,89.47368421052632,2,8,8,7,1,1,0.03898237101559218,0.4314315303679552
drop_autophagy_dna_repair,inflammatory_score,19,94.73684210526315,1,5,5,5,0,0,0.014190216897593255,0.11483651671202912
drop_autophagy_dna_repair,repair_score,19,89.47368421052632,2,6,5,4,2,1,0.033770753547968324,0.12319554321840193
drop_classic_cytokines,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_classic_cytokines,balance_score,19,73.68421052631578,5,8,5,5,3,0,0.08029316378979279,0.592833193432067
drop_classic_cytokines,inflammatory_score,19,84.21052631578947,3,5,6,3,2,3,0.08029316378979284,0.8001882738075335
drop_classic_cytokines,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0
drop_insulin_adipose_metabolism,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_insulin_adipose_metabolism,balance_score,19,89.47368421052632,2,8,8,8,0,0,0.04002194450724341,0.2694717575004488
drop_insulin_adipose_metabolism,inflammatory_score,19,94.73684210526315,1,5,5,5,0,0,0.017716727937120536,0.07190868383194558
drop_insulin_adipose_metabolism,repair_score,19,78.94736842105263,4,6,6,6,0,0,0.029021973204110374,0.18335266613596962
drop_mito_repair,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_mito_repair,balance_score,19,73.68421052631578,5,8,8,8,0,0,0.08853225415935295,0.5831233700815013
drop_mito_repair,inflammatory_score,19,100.0,0,5,5,5,0,0,0.02007606062446221,0.1513323011939702
drop_mito_repair,repair_score,19,89.47368421052632,2,6,7,5,1,2,0.08155692965363881,0.4012823397601746
drop_monocyte_macrophage,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_monocyte_macrophage,balance_score,19,84.21052631578947,3,8,7,7,1,0,0.02136804632303452,0.32939869573129354
drop_monocyte_macrophage,inflammatory_score,19,89.47368421052632,2,5,5,5,0,0,0.02136804632303451,0.21778102279225073
drop_monocyte_macrophage,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0
drop_nad_consumption,NAMPT_z,19,100.0,0,10,11,10,0,1,0.0,0.0
drop_nad_consumption,balance_score,19,78.94736842105263,4,8,7,7,1,0,0.08704730386905175,0.40326131551038585
drop_nad_consumption,inflammatory_score,19,84.21052631578947,3,5,5,4,1,1,0.09083507579036253,0.6019451413796684
drop_nad_consumption,repair_score,19,94.73684210526315,1,6,7,6,0,1,0.016123956041335395,0.08576522195183638
drop_nad_salvage_core,NAMPT_z,19,100.0,0,10,11,10,0,1,0.0,0.0
drop_nad_salvage_core,balance_score,19,78.94736842105263,4,8,7,7,1,0,0.0266514027624693,0.1642630257594385
drop_nad_salvage_core,inflammatory_score,19,100.0,0,5,5,5,0,0,0.0,0.0
drop_nad_salvage_core,repair_score,19,89.47368421052632,2,6,5,5,1,0,0.026651402762469245,0.17219765670170067
drop_nampt,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_nampt,balance_score,19,100.0,0,8,8,8,0,0,0.0,0.0
drop_nampt,inflammatory_score,19,100.0,0,5,5,5,0,0,0.0,0.0
drop_nampt,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0
drop_nfkb_module,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0
drop_nfkb_module,balance_score,19,68.42105263157895,6,8,4,3,5,1,0.12057545503234074,0.7754919674007735
drop_nfkb_module,inflammatory_score,19,68.42105263157895,6,5,3,1,4,2,0.12057545503234074,1.1069088664334676
drop_nfkb_module,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0
