dataset_id,module,n_genes,n_samples,cronbach_alpha,table_type,module_a,module_b,mean_correlation,n_pairs,interpretation_boundary
GSE272133_muscle_bariatric,nad_salvage_core,6.0,51.0,0.7920164923573386,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,nad_de_novo,3.0,51.0,0.4434200272026369,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,nad_consumption_inflammation,2.0,51.0,0.102939437058352,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,nad_consumption_repair,2.0,51.0,0.890153869170861,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,sirtuin_repair,3.0,51.0,0.8217083444946134,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,ampk_mitochondria_repair,3.0,51.0,0.8258931188858045,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,mitochondrial_biogenesis,2.0,51.0,0.8425475589774207,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,oxidative_stress_repair,4.0,51.0,0.914058911448724,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,nfkb_inflammation,7.0,51.0,0.6130490775091033,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,innate_immune_inflammation,3.0,51.0,0.4897190516564739,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,monocyte_macrophage,4.0,51.0,0.7811631081062941,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,macrophage_resolution,2.0,51.0,0.1910241876968301,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,adipose_metabolism_resolution,2.0,51.0,0.3984992901500084,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,insulin_metabolism,4.0,51.0,0.8015965203234146,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,dna_damage_repair,3.0,51.0,0.8576820964306897,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,autophagy_repair,4.0,51.0,0.7370303911167193,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE272133_muscle_bariatric,mitochondrial_stress,2.0,51.0,0.5856652501089883,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,5.0,14.0,-1.500136930365451,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,3.0,14.0,0.547787020163028,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,2.0,14.0,0.5661004351825318,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,sirtuin_repair,3.0,14.0,0.2463368324065307,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,3.0,14.0,0.2732823864189538,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,2.0,14.0,-2.1461027775195856,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,oxidative_stress_repair,3.0,14.0,0.3141547506185982,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,nfkb_inflammation,4.0,14.0,-0.6938129862657615,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,innate_immune_inflammation,3.0,14.0,0.6707857186209101,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,monocyte_macrophage,2.0,14.0,0.1025070139750019,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,insulin_metabolism,4.0,14.0,-0.6145271552409428,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,dna_damage_repair,3.0,14.0,0.5891582316100259,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,autophagy_repair,4.0,14.0,0.663109192390556,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_stress,2.0,14.0,-0.3097797847543488,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,nad_salvage_core,6.0,33.0,-0.3274902514470375,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,nad_de_novo,3.0,33.0,0.1019334160284354,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,nad_consumption_inflammation,2.0,33.0,0.0542915283111544,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,nad_consumption_repair,2.0,33.0,-0.2479652816812012,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,sirtuin_repair,3.0,33.0,-0.7022866744684484,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,ampk_mitochondria_repair,3.0,33.0,-0.0931102031011726,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,mitochondrial_biogenesis,2.0,33.0,-1.1301883336328855,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,oxidative_stress_repair,4.0,33.0,-0.0313846199491673,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,nfkb_inflammation,7.0,33.0,0.4863342829474869,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,innate_immune_inflammation,3.0,33.0,0.0704157717109493,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,monocyte_macrophage,4.0,33.0,0.2564015586866084,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,macrophage_resolution,2.0,33.0,-0.01266053057615,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,adipose_metabolism_resolution,2.0,33.0,0.3866155404395883,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,insulin_metabolism,4.0,33.0,-0.0078869067676021,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,dna_damage_repair,3.0,33.0,0.4516178482123056,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,autophagy_repair,4.0,33.0,0.1002298410783784,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE292369_exercise_ketone_recovery,mitochondrial_stress,2.0,33.0,0.1714896257220488,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,nad_salvage_core,6.0,39.0,0.3133862278257627,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,nad_de_novo,3.0,39.0,0.7307724958395869,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,nad_consumption_inflammation,2.0,39.0,-3.7964496773165943,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,nad_consumption_repair,2.0,39.0,-0.5564478054850555,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,sirtuin_repair,3.0,39.0,0.3161272373185271,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,ampk_mitochondria_repair,3.0,39.0,0.5694755858456679,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,mitochondrial_biogenesis,2.0,39.0,0.6938280814402578,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,oxidative_stress_repair,4.0,39.0,0.7866277855287063,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,nfkb_inflammation,7.0,39.0,0.7921040543188768,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,innate_immune_inflammation,3.0,39.0,0.4003582322979009,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
GSE294150_visceral_adipose,monocyte_macrophage,4.0,39.0,0.2982280907974717,module_internal_consistency_Cronbach_alpha,,,,,structural co-expression description; not a between-group significance test
