sensitivity_variant,metric,contrasts_evaluated,direction_agreement_pct,direction_flips,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,median_abs_delta_difference,median_relative_abs_delta_difference,atlas_scope,interpretation_boundary
drop_autophagy_dna_repair,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_autophagy_dna_repair,balance_score,19,89.47368421052632,2,8,8,7,1,1,0.0389823710155921,0.4314315303679552,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_autophagy_dna_repair,inflammatory_score,19,94.73684210526316,1,5,5,5,0,0,0.0141902168975932,0.1148365167120291,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_autophagy_dna_repair,repair_score,19,89.47368421052632,2,6,5,4,2,1,0.0337707535479683,0.1231955432184019,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_classic_cytokines,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_classic_cytokines,balance_score,19,73.68421052631578,5,8,5,5,3,0,0.0802931637897927,0.592833193432067,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_classic_cytokines,inflammatory_score,19,84.21052631578947,3,5,6,3,2,3,0.0802931637897928,0.8001882738075335,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_classic_cytokines,repair_score,19,100.0,0,6,6,6,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_insulin_adipose_metabolism,NAMPT_z,19,100.0,0,10,10,10,0,0,0.0,0.0,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
drop_insulin_adipose_metabolism,balance_score,19,89.47368421052632,2,8,8,8,0,0,0.0400219445072434,0.2694717575004488,pre-specified Phase 1b gene/module-drop sensitivity variants,comparison to primary score; not a new independent experiment
