dataset_id,contrast,contrast_source,control_condition,case_condition,metric,control_n_raw,case_n_raw,pairing_keys,independent_unit_keys,analysis_design,analysis_n,paired_n,analysis_n_control,analysis_n_case,control_mean,case_mean,mean_delta,delta_sd,ci95_low,ci95_high,effect_size_name,effect_size,p_value,test_method,ci_method,q_value_global,q_value_metric,evidence_flags,table_scope,interpretation_boundary
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,NAMPT_z,13,13,participant_id,,paired,13,13,13,13,0.8186496667344041,0.6513953090343809,-0.1672543577000231,1.0767209754238332,-0.7546983280756918,0.3682068919404514,paired_cohen_dz,-0.1553367692444054,0.612060546875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.9690958658854166,0.6840676700367647,ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,balance_score,13,13,participant_id,,paired,13,13,13,13,0.1889923500993822,0.1671637871688947,-0.0218285629304875,0.3422564543465279,-0.1996472175342883,0.1553221068556033,paired_cohen_dz,-0.0637783821262477,0.819091796875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,1.0,1.0,ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,inflammatory_score,13,13,participant_id,,paired,13,13,13,13,0.503654595465248,0.4604297129319653,-0.0432248825332828,0.4700307863712039,-0.2878807320378335,0.2073709098139964,paired_cohen_dz,-0.0919618114102556,0.7421875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,1.0,1.0,ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,predefined,OB_w0,OB_w52,repair_score,13,13,participant_id,,paired,13,13,13,13,0.6926469455646302,0.62759350010086,-0.0650534454637703,0.4066214043395151,-0.273407136802253,0.1542090134307912,paired_cohen_dz,-0.1599852953374114,0.573486328125,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.9474991508152174,0.9895833333333334,ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,NAMPT_z,13,13,participant_id,,paired,13,13,13,13,-0.7969901186524632,-0.6730548571163376,0.1239352615361255,0.5859578895232956,-0.1766753799372143,0.4327027425519354,paired_cohen_dz,0.2115088195790873,0.457275390625,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.8444444444444444,0.59375,ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,balance_score,13,13,participant_id,,paired,13,13,13,13,-0.2380339828742505,-0.1181221543940294,0.119911828480221,0.3568133353993074,-0.0657586959290551,0.3039093901606672,paired_cohen_dz,0.3360631921058344,0.24169921875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.5277777777777778,0.5277777777777778,ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,inflammatory_score,13,13,participant_id,,paired,13,13,13,13,-0.5699029710642102,-0.3941813373330038,0.1757216337312062,0.2328846761582234,0.06005816075325,0.2965316098916434,paired_cohen_dz,0.7545435647806201,0.019775390625,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.1001953125,0.125244140625,ci_excludes_zero;nominal_p_lt_0.05,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,predefined,T2D_w0,T2D_w52,repair_score,13,13,participant_id,,paired,13,13,13,13,-0.8079369539384607,-0.5123034917270334,0.2956334622114273,0.4104995062067718,0.0709571075903461,0.4958558268882065,paired_cohen_dz,0.7201798241932948,0.02685546875,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.1133897569444444,0.1275634765625,ci_excludes_zero;nominal_p_lt_0.05,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,predefined,differentiated,aicar,NAMPT_z,4,3,participant_id,,paired_intersection,3,3,3,3,-1.0381844041326904,-0.3407648364634361,0.6974195676692544,0.6629193517110042,0.0459596474402413,1.3712329173965725,paired_cohen_dz,1.052042855392899,0.25,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,0.5277777777777778,0.3958333333333333,very_small_n;ci_excludes_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,predefined,differentiated,aicar,balance_score,4,3,participant_id,,paired_intersection,3,3,3,3,-0.0297274710241705,-0.0512158456479406,-0.02148837462377,0.1193731298428704,-0.1563913974119344,0.0704748678484068,paired_cohen_dz,-0.1800101467730214,1.0,paired_sign_flip_permutation,paired_percentile_bootstrap_5000,1.0,1.0,very_small_n;ci_crosses_zero,19 predefined contrasts x 4 metrics = 76 formal metric-level rows,contrast-level statistics; paired exercise meta uses 12 eligible paired contrasts
